"Sr. #","DISCO","Circle","Division","Opertion SUB Division","Const. Division","Name of Grid Station","Name of Feeder","Feeder Code","Date","Time_From","Time_To","Purpose of Shut Down","Affected Area"
"1","LESCO","Central","Raiwind","Lahore Park","O","DHA","Ali Hussain Shah","115720","01-02-2022","9:00","15:00","Annual Maintenance","Kot Bagh Ali Bhatta Pind, Eden Park"
"2","LESCO","Kasur","City","Civil Area","O","Kasur New","Jinnah Road","202012","01-02-2022","9:00","15:00","Tree trimming, maintenance work","Khara Road, Shah Inayat Colony"
"3","LESCO","Kasur","Chunian","Chunian East","O","Ellahabad","Noor Pur","050606","01-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station11KV Deu Khara (EM) for Dismentlement11KV Pakhoki (P)","90%"
"4","LESCO","SKP","Farooq Abad","Sucha Souda","O","Farooq Abad","Colony","027108","01-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Moh: Sharif pura.Aproch road.NR Phatak,Moh: Kashmirian"
"5","LESCO","SKP","Farooq Abad","(South) Farooq Abad","O","Farooq Abad","Ghang","027116","01-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Village Ghang"
"6","LESCO","SKP","Farooq Abad","(South) Farooq Abad","O","Farooq Abad","Jhamkay","027119","01-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Village Jhamke, Dhanatpura"
"7","LESCO","Eastern","Mughalpura","Amir Town","O","Fateh Garh","Amir Town","003832","01-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Amir Town Moeez Town Daire Salamatpura Taj Mehal Park"
"8","LESCO","Eastern","Mughalpura","Fateh Garh","O","Fateh Garh","Hafeez pura  003833","Aziz Bhatti","01-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Khajoor Wali Gali"
"9","LESCO","Eastern","Mughalpura","Harbanspura","O","Fateh Garh","Harbance Pura","003817","01-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Punj Peer New Pull Sami Town"
"10","LESCO","Eastern","Mughalpura","Taj Bagh","O","Fateh Garh","Madina Town","003831","01-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Taj BaGh Scheem Madina Town"
"11","LESCO","Eastern","Mughalpura","Mughalpura","O","Fateh Garh","Mughal Pura","003807","01-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","MuGhal Pura.SahWary.Ganj Bazar.Shah Kamal Rd."
"12","LESCO","Nothern","Data Darbar","Sheran Wala","C/O","Fort","Ahmad Park","004001","01-02-2022","9:00","15:00","1..Checking Of 11KV Disc/Pin Spark/Crack & Streel Cross Arm 2..Checking Of 11KV Disc/Pin Spark/Crack  & Jumper3..Checking Of 11KV Disc/Pin Spark/Crack  & Tree Cutting","circular road, larri adda, kashmiri gate"
"13","LESCO","Kasur","City","Bullay Shah","O","Kasur New","Ring Man B","102013","01-02-2022","9:00","15:00","Bifurcation of 11kV Hussain Khan Wala  Feeder Emanating from 132 kV Kasur-1 G/S11 kV Hussain Khan Wala Feeder (EM)11 kV Ello Ana Feeder (P)","60%"
"14","LESCO","Nothern","Data Darbar","Sheran Wala","O","Fort","Larry Adda","121002","01-02-2022","9:00","15:00","1..Checking Of 11KV Disc/Pin Spark/Crack & Streel Cross Arm 2..Checking Of 11KV Disc/Pin Spark/Crack  & Jumper3..Checking Of 11KV Disc/Pin Spark/Crack  & Tree Cutting","badami bagh, spare parts market"
"15","LESCO","South","Aziz Bhatti","Guldasht Town","C/O","Ghazi","Askari-10","098715","01-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Ibrahim Colony, Peer Naseer, Jalal Colony, Haji Pura, Makka Colony"
"16","LESCO","South","Cantt","Zarar Shaheed","C/O","Ghazi","Askari-9","098718","01-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Askari-I & Askari-IX"
"17","LESCO","South","Aziz Bhatti","Barki","C/O","Ghazi","Barki","098720","01-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Kalas Mari, Lohar Pura, Banghali Dairy Barki Rd, Opp. Bangali, Mian Sing, Qadirabad, Barki, Karamwala"
"18","LESCO","South","Aziz Bhatti","BRB","C/O","Ghazi","BRB Canal","098708","01-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Bawo Wala, Durag Pura, Jindri, Jindra, Phase-VIII, Kalas Mari, Cross Cly"
