"2358","LESCO","Nankana","Manawala","Manawala","O","Mohlan","Tube well/Kor War","033004","14-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar ,","Chander Kot,Mehmood Pura, Kot War, Kot Nonehal Singh Ahmed  Nagar,Bagga Chak."
"2359","LESCO","Nankana","Nankana","Rural","O","Nankana","City-II / Guru Nanak","052004","14-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Distrct Courts NNSNNS Ciry and Area"
"2360","LESCO","Nothern","K.A.Malk","G.T Road","O","New Shahdara","Aziz Colony","036902","14-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Aziz Colony,Court Ferozewala,Ghareeb Nagar,Kashmir park,Latif Chowk,Muhammadi Chowk"
"2361","LESCO","Nothern","K.A.Malk","G.T Road","O","New Shahdara","Islam Nagar","036921","14-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Kot Shahb Din,Raja Colony,Main Shahdara Road,Jinah Colony,Fashin House Bazar,Dolat Khan Road,Vandala Road"
"2362","LESCO","Okara","Okara Cantt","Peoples Colony","O","Okara City -1","Bolan Farm","15211","14-02-2022","9:00","15:00","Tree Cutting and Jumper","Chak No.53/2-L, Khalid Town, Mehboob town, sharif town, sukh chain town, 5/4L 5/A4L,Ibrahim Colony"
"2363","LESCO","Okara","Okara Cantt","Civil Line","C/O","Okara City-II","Akbar Road","84904","14-02-2022","9:00","15:00","Tree Cutting and Jumper","Akbar Road 41/3R"
"2364","LESCO","Okara","Okara","City","C/O","Okara City-II","Company bagh","84901","14-02-2022","9:00","15:00","Tree Cutting and Jumper","Thandi Sarak, Waris Colony"
"2365","LESCO","Okara 4th","Okara","Civil Line","C/O","Okara City-II","D.H.Q","84915","14-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Faisal Abad Road Feeder from 132 KV Okara City-II G/S 11 KV Chak 18/GD (P) Feeder","Independent"
"2366","LESCO","Okara","Okara","Rural","C/O","Okara City-II","Faisal Abad Road","84908","14-02-2022","9:00","15:00","Tree Cutting and Jumper","Faisal Abad Road , Model Town"
"2367","LESCO","Okara","Okara Cantt","Civil Line","C/O","Okara City-II","Fawar Chowk","84902","14-02-2022","9:00","15:00","Tree Cutting and Jumper","Ravi Road, Fawara Chowk"
"2368","LESCO","Okara 4th","Okara","Rural","O","Okara City-II","Fazal Paper","084912","14-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Faisal Abad Road Feeder from 132 KV Okara City-II G/S 11 KV Chak 18/GD (P) Feeder","0%"
"2369","LESCO","Okara 4th","Okara","Rural","O","Okara City-II","Harnian Wala","084916","14-02-2022","9:00","15:00","Tree Cutting and Jumper","Harnian Wala"
"2370","LESCO","Okara","Okara","City","C/O","Okara City-II","Rehmat Pura","84911","14-02-2022","9:00","15:00","Tree Cutting and Jumper","Rehmat Pura"
"2371","LESCO","Okara 4th","Okara","Rural","C/O","Okara City-II","Salva Oil","","14-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Faisal Abad Road Feeder from 132 KV Okara City-II G/S 11 KV Chak 18/GD (P) Feeder","0%"
"2372","LESCO","South","Defence","Walton","O","Old Kot Lakhpat","Academy Road","008216","14-02-2022","9:00","15:00","Maintenance of 11 Kv feeders","Madina Colony"
"2373","LESCO","Kasur","Phool Nagar","Hallah","O","Pattoki","Baherwal","015810","14-02-2022","9:00","15:00","Area Planning of proposed Changa Manga City Feeder from 132 KV Pattoki Grid Station and 11 KV Wan Adhan Feeder from 132 KV Chunian Grid Station for the utilization of idle line National Power Plant11 KV Wan Adhan (P)","0%"
"2374","LESCO","Kasur","Chunian","Chunian West","O","Pattoki","Bhagoki","025411","14-02-2022","9:00","15:00","Area Planning / Bifurcation of 11kV New Mandi feeder from 132kV Pattoki G/S , 11kV Changa Manga feeder from 132kV Chunian G/S and 11kV New Changa Manga feeder from 132kV Kot Radha Kishan G/S11KV Bhagoki (P) FeederBifurcation / Area Planning of 11KV Jandwala Feeder Emanating from 132Kv Chunian Grid Station 11KV Jandwala (EM) Feeder",""
"2375","LESCO","Kasur","Phool Nagar","Pattoki Rural","O","Pattoki","Lakhodair","112901","14-02-2022","9:00","15:00","Tree Triming, Re-Sagging, Set Right Tilted Poles, X-Arms, Pin Insulator, Kite/Threads/Nest removing & replacement of damaged LT/HT jumpers",""
"2376","LESCO","Kasur","Phool Nagar","Jumber","C/O","Phool Nagar","Baghiana Kalan","001539","14-02-2022","9:00","15:00","Tree Triming, Re-Sagging, Set Right Tilted Poles, X-Arms, Pin Insulator, Kite/Threads/Nest removing & replacement of damaged LT/HT jumpers","Baghiana Kalan"
