"2402","LESCO","Nankana","Shahkot","Sangla Hill","O","Sangla Hill","H-102","036210","14-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Chak No. 43 Kotla Khurd Stop, Chak No. 42 Marrar, Chak No. 41, Chak No. 37, Fardoon Abad, Chak No. 292, Chak No. 37 Pandat Wala, Chak No. 37 Khurd, Chak No. 292 Chak No. 43 Kotla"
"2403","LESCO","Nankana","Shahkot","Shahkot Gulistan","O","Shahkot","A-1","019201","14-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Near Mushedi Hotel, Near United Mill, Abadi Sindhawan, Near Anad Pura, Sarimko Garden, Malik Pura, Near Kartar Pura, Near Chak No. 88"
"2404","LESCO","Nankana","Shahkot","Shahkot City","C/O","Shahkot","Crescent Textile","019215","14-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Independent feeder"
"2405","LESCO","Nankana","Shahkot","Shahkot Gulistan","O","Shahkot","H-101","019204","14-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Near Wara Sindhian, Near Tawana, Near Chak No. 49, Chak No. 50"
"2406","LESCO","Nankana","Shahkot","Shahkot City","C/O","Shahkot","Jadeed Feed","019229","14-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Independent feeder"
"2407","LESCO","Nankana","Shahkot","Shahkot Gulistan","C/O","Shahkot","Kashir Textile","019221","14-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Independent feeder"
"2408","LESCO","Nankana","Manawala","Panwan","C/O","Shahkot","S-3","019208","14-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Deterioated Poles, Replacement Of X-Arm.","Chak No. 86 Chak No. 85.Kotla Kahluwan, Ghandhran,Mathu Wala,Panwan,Gill Wala,Kot Hayat"
"2409","LESCO","Nankana","Shahkot","Shahkot Gulistan","C/O","Shahkot","Sandal Bar Textile","019219","14-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Independent feeder"
"2410","LESCO","Nankana","Shahkot","Shahkot Gulistan","C/O","Shahkot","Shadab Textile","019212","14-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Independent feeder"
"2411","LESCO","Nankana","Shahkot","Shahkot City","C/O","Shahkot","Shamus Textile","019226","14-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Independent feeder"
"2412","LESCO","Nankana","Shahkot","Shahkot City","O","Shahkot","S-I","019207","14-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Main D-Fuse, Chak No. 82, Chak No. 33, Chak No. 38, Near Bhatta Idrees, Near Dera Thabal, Chak No. 50, Chak No. 80, Near Waris Chowk, Chak No. 80, Chak No. 25, Chak NO. 32, T-Off Pakhari Wal"
"2413","LESCO","Nankana","Shahkot","Shahkot Gulistan","C/O","Shahkot","Suraj Textile","019216","14-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Independent feeder"
"2414","LESCO","Eastern","Shalamar","Shalamar","O","Shalamar","Barkat Steel-2","019431","14-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Ind"
"2415","LESCO","Eastern","Shalamar","Shalamar","C/O","Shalamar","Barkat Steel-I","019429","14-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Ind"
"2416","LESCO","Eastern","Shalamar","Bilal Colony","C/O","Shalamar","Data Flour Mill","019434","14-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","In depended"
"2417","LESCO","Eastern","Shalamar","Shalamar","C/O","Shalamar","Javid Furnace","019424","14-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Ind"
"2418","LESCO","Eastern","Shalamar","Shalamar","C/O","Shalamar","Malik Imtiaz Furnace","019413","14-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Ind"
"2419","LESCO","Eastern","Shalamar","Bilal Colony","C/O","Shalamar","Model Steel","019435","14-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","In depended"
