"2438","LESCO","South","Defence-East","Airport","O","Willington Mall","Badian Road","078110","14-02-2022","9:00","15:00","Maintenance Of 11 Kv feeders","Nadir Abad,Arif abad, DA D Flates, and Fauji Foundation Hospital, Ali Park"
"2439","LESCO","Nothern","Ferozwala","Ali Park","C/O","Shamkey","Diamond Polly","50831","14-02-2022","9:00","15:00","1-ELR/ operation Safety2-ELR/ operation Safety3-ELR/ operation Safety4-ELR/ operation Safety","Independent"
"2440","LESCO","Nothern","Ferozwala","Ali Park","C/O","Shamkey","New  Muslim International","50819","14-02-2022","9:00","15:00","1-ELR/ operation Safety2-ELR/ operation Safety3-ELR/ operation Safety4-ELR/ operation Safety","Independent"
"2441","LESCO","Nothern","Ferozwala","Ali Park","C/O","Shamkey","Punjab Judicial","50838","14-02-2022","9:00","15:00","1-ELR/ operation Safety2-ELR/ operation Safety3-ELR/ operation Safety4-ELR/ operation Safety","Independent"
"2442","LESCO","Nothern","Ferozwala","Ali Park","C/O","Shamkey","Sadiq Paper","50834","14-02-2022","9:00","15:00","1-ELR/ operation Safety2-ELR/ operation Safety3-ELR/ operation Safety4-ELR/ operation Safety","Independent"
"2443","LESCO","Nothern","Ferozwala","Rachana Town","C/O","Shamkey","Sharif Oxygen","50823","14-02-2022","9:00","15:00","1- ELR/operation Safety2-ELR/ operation Safety3-ELR/ operation Safety4-ELR/ operation Safety5-ELR/ operation Safety","Independent"
"2444","LESCO","Nothern","Ferozwala","Ali Park","C/O","Shamkey","UET","50836","14-02-2022","9:00","15:00","11 KV Ali Park Feeder 11 KV Azmat Park (P) Feeder     G.C Universty","Independent"
"2445","LESCO","Nothern","Ferozwala","Rachana Town","C/O","Shamkey","Unipet","50832","14-02-2022","9:00","15:00","11 KV Azmat Park (P) Feeder              D/W G/C Universty","Independent"
"2446","LESCO","Nothern","Ferozwala","Ali Park","C/O","Shamkey","University Of Health Science","50845","14-02-2022","9:00","15:00","11 KV Azmat Park (P) Feeder","IndependentD/W G/C Universty"
"2447","LESCO","Eastern","Shalamar","Shalamar","O","Shalamar","S.W.S.(Sohar Wardi Street)","019415","14-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Nohwala chowk taj din road S.W Street"
"2448","LESCO","Okara 4th","Depal Pur","Bhuman Shah","O","Haveli","Bonga Saleh","006009","14-02-2022","9:00","15:00","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder","Village Bhuman Shah"
"2449","LESCO","Okara 4th","Depal Pur","Haveli Urban","O","Haveli","Jamal Kot","006003","14-02-2022","9:00","15:00","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder","Village Jamal Kot"
