"2609","LESCO","SKP","Rural  SKP","Bhikhi","O","Sheikhupura","G-102","19706","15-02-2022","9:00","15:00","Tree Trimming Jumpers set right loos saging x-arms set right","55% Completed"
"2610","LESCO","Eastern","Mcleod Road","Davis Road","O","Sunny View","Davis Road","020604","15-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i-c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc-","Mumtaz Street Khizar Park"
"2611","LESCO","South","Cantt","Cavalry Ground","O","Willington Mall","Tariq Road","078102","15-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Sarafaraz Rafiqui Rd, Arif Jan Rd & Tariq Rd"
"2612","LESCO","South","Gulberg","Liberty","O","Rehman Park","Hussain Chowk","017521","15-02-2022","9:00","15:00","for safety Purpose","MM ALAM ROAD"
"2613","LESCO","South","Cantt","Zarar Shaheed","C/O","Ghazi","Zarar Shaheed","098726","15-02-2022","9:00","15:00","Gen Maintinance","C-Block Al-Faisals Town, Ameer-ud-Park, Sooling Road"
"2614","LESCO","Okara 4th","Okara","Gogera","O","Gogera","Akbar","053901","15-02-2022","9:00","15:00","Area Planning / Bifurcation/Load Shifting of 11 KV Saddar Gogera & 11 KV Jandraka From 132 KV Sadar Gogeera G/S,11 KV Ghous & 11 KV Satghara From 132 KV Renala Khurd G/S, 11 KV Kund Bohar From 132 KV Daula Chuchak G/S 11 KV SADDAR GOGERA (EM) Feeder from 132 KV Gogera G/S","Village Akbar"
"2615","LESCO","Okara 4th","Okara","Gogera","C/O","Gogera","Bahaddar Nagar","053907","15-02-2022","9:00","15:00","Area Planning / Bifurcation/Load Shifting of 11 KV Saddar Gogera & 11 KV Jandraka From 132 KV Sadar Gogeera G/S,11 KV Ghous & 11 KV Satghara From 132 KV Renala Khurd G/S, 11 KV Kund Bohar From 132 KV Daula Chuchak G/S 11 KV SADDAR GOGERA (EM) Feeder from 132 KV Gogera G/S","Village Bahadur Nagar"
"2616","LESCO","Okara 4th","Okara","Gogera","C/O","Gogera","Burj Jeeway Khan","053908","15-02-2022","9:00","15:00","Area Planning / Bifurcation/Load Shifting of 11 KV Saddar Gogera & 11 KV Jandraka From 132 KV Sadar Gogeera G/S,11 KV Ghous & 11 KV Satghara From 132 KV Renala Khurd G/S, 11 KV Kund Bohar From 132 KV Daula Chuchak G/S 11 KV SADDAR GOGERA (EM) Feeder from 132 KV Gogera G/S","Village Burj Jeway Khan"
"2617","LESCO","Kasur","City","City Kasur","O","Kasur New","Sheikh Bhago","102008","15-02-2022","9:00","15:00","Bifurcation of 11kV Hussain Khan Wala  Feeder Emanating from 132 kV Kasur-1 G/S11 kV Hussain Khan Wala Feeder (EM)11 kV Ello Ana Feeder (P)","60%"
"2618","LESCO","Okara 4th","Okara","Rural","C/O","Gogera","Distirct Jail Okara","","15-02-2022","9:00","15:00","Area Planning / Bifurcation/Load Shifting of 11 KV Saddar Gogera & 11 KV Jandraka From 132 KV Sadar Gogeera G/S,11 KV Ghous & 11 KV Satghara From 132 KV Renala Khurd G/S, 11 KV Kund Bohar From 132 KV Daula Chuchak G/S 11 KV SADDAR GOGERA (EM) Feeder from 132 KV Gogera G/S","Independent"
"2619","LESCO","Okara 4th","Okara","Ravi","C/O","Gogera","Fateh Pur","053904","15-02-2022","9:00","15:00","Area Planning / Bifurcation/Load Shifting of 11 KV Saddar Gogera & 11 KV Jandraka From 132 KV Sadar Gogeera G/S,11 KV Ghous & 11 KV Satghara From 132 KV Renala Khurd G/S, 11 KV Kund Bohar From 132 KV Daula Chuchak G/S 11 KV SADDAR GOGERA (EM) Feeder from 132 KV Gogera G/S","Village Fateh Pur"
"2620","LESCO","Okara 4th","Okara","Ravi","C/O","Gogera","Jandraka","053905","15-02-2022","9:00","15:00","Area Planning / Bifurcation/Load Shifting of 11 KV Saddar Gogera & 11 KV Jandraka From 132 KV Sadar Gogeera G/S,11 KV Ghous & 11 KV Satghara From 132 KV Renala Khurd G/S, 11 KV Kund Bohar From 132 KV Daula Chuchak G/S 11 KV SADDAR GOGERA (EM) Feeder from 132 KV Gogera G/S","Village Jandraka"
