"2723","LESCO","Eastern","Baghbanpura","Eng: University","C/O","Sherawala","Dody Pir","071011","15-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Faiz BaGh Sultan Pura"
"2724","LESCO","Nothern","Badami Bagh","Sultanpura","C/O","Sherawala","Faiz Bhag","121004","15-02-2022","9:00","15:00","Tree Cutting, Jumper Setright,Rep: of Pin, Disc /X-Arm","Faiz Bhag"
"2725","LESCO","Nankana","Manawala","Warburton","O","Warburton","C-103","040102","15-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Set Right Tilted Poles.","Tanveer Colony ,Raheem Nagar, Bhatera, Dhoor Kot, Ghona Tibba"
"2726","LESCO","Nankana","Manawala","Warburton","O","Warburton","Mehmoowali","040124","15-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of D- Fuse Fitting , Replacement Of X-Arm.","Near Wara Mola Singh Panj Ahatah, Nawab Kot, Dera Sandeehla, Wara  Bahman"
"2727","LESCO","Nothern","Ferozwala","Faiz Pur","O","Rustam","Faizpur","41208","15-02-2022","9:00","15:00","1-For Safety2-Sitright HT/LT Jumper3-For Safety4-Sitright HT/LT Jumper","Shama Colony, Chatha Colony, Zain Park."
"2728","LESCO","Nothern","Ferozwala","Faiz Pur","O","Rustam","Al-Rehman Garden","041218","15-02-2022","9:00","15:00","1-For Safety2-Sitright HT/LT Jumper3-For Safety4-For Safety","Al-Rehman Garden"
"2729","LESCO","Nothern","Ferozwala","Faiz Pur","C/O","Rustam","Anees Printing press","041220","15-02-2022","9:00","15:00","1-For Safety2-For Safety3-For Safety4-For Safety","independfent"
"2730","LESCO","Nothern","Ferozwala","Faiz Pur","O","Rustam","Jaranwala Road","41217","15-02-2022","9:00","15:00","1-Sitright HT/LT Jumper2-Sitright HT/LT Jumper3-Sitright HT/LT Jumper4-Sitright HT/LT Jumper","Jaranwala Road, Mustfa Town,Saggian Muti fuji, Village Faizpur."
"2731","LESCO","Nothern","Ferozwala","Faiz Pur","O","Rustam","Meraj Park","41211","15-02-2022","9:00","15:00","1-Sitright HT/LT Jumper2-For Safety3-Sitright HT/LT Jumper4-For Safety","Main Bazar Begum Kot, Shoukat Colony, Bara Dari road."
"2732","LESCO","Nothern","Ferozwala","Faiz Pur","C/O","Rustam","Nain Sukh","41223","15-02-2022","9:00","15:00","1-For Safety2-Sitright HT/LT Jumper3-For Safety4-Sitright HT/LT Jumper","Dera Arban, Dera Fazal Din, Village Nain Sukh, Ai-Jannat Road.s"
"2733","LESCO","Nothern","Ferozwala","Faiz Pur","O","Rustam","Saggian Road","41224","15-02-2022","9:00","15:00","1-Sitright HT/LT Jumper2-For Safety3-Sitright HT/LT Jumper4-For Safety","Saggian road, Abu Bakar road,Water Land, Gunj Lalan, Usman ghani road."
"2734","LESCO","Central","ShahPur","Mustafa Town","O","A.I.Town","Canal View","109","15-02-2022","9:00","15:00","Tree Cutting","Canal View Society"
"2735","LESCO","Central","ShahPur","Mustafa Town","O","A.I.Town","Industrial I","110","15-02-2022","9:00","15:00","Tree Cutting","Hanjerwal Samsani Road"
"2736","LESCO","Central","ShahPur","Mustafa Town","O","A.I.Town","Mustafa Town","118","15-02-2022","9:00","15:00","Tree Cutting","Mustafa Town"
"2737","LESCO","Nothern","Gulshan Ravi","Chaburji Park","O","Sabzazar","Jafria Colony","095011","15-02-2022","9:00","15:00","1-HT LT JUMPER SET RIGHT2-For Safety3-HT LT JUMPER SET RIGHT4- For Safety","KHUDA BUKHSH ROAD, AL KHYAM ROAD, JAFFERIA COLNY"
"2738","LESCO","Central","A.I.Town","Canal Road","O","Said Pur","A.I.Town","18409","15-02-2022","9:00","15:00","Tree Cutting","Badr Block"
"2739","LESCO","Nothern","Gulshan Ravi","Chaburji Park","O","Said Pur","Chaburji Park","018400","15-02-2022","9:00","15:00","1-For Safety2-HT LT JUMPER SET RIGHT3-For Safety4- HT LT JUMPER SET RIGHT","SODIWALL STORE, AKHTAR RASOOL CHOWK, AL KHAYAM ROAD,"
"2740","LESCO","Central","A.I.Town","Canal Road","O","Said Pur","Nargis","18422","15-02-2022","9:00","15:00","Tree Cutting","Huma Block Zeenat Block"
"2741","LESCO","Nothern","Gulshan Ravi","Dholanwall","O","Said Pur","Nawan Kot","018412","15-02-2022","9:00","15:00","1-HT LT JUMPER SET RIGHT 2-HT LT JUMPER SET RIGHT 3-HT LT JUMPER SET RIGHT 4- HT LT JUMPER SET RIGHT","YATEEM KHANA MARKET, ALMARIYO WALA, AMEER UR DIN DHOOD DAHI WALA, SAI KAREEM SHAH,"
"2742","LESCO","Okara 4th","Depal Pur","Haveli Rural","C/O","Haveli","Chak Bawa","006012","15-02-2022","9:00","15:00","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder","Village Chak Bawa"
"2743","LESCO","Okara 4th","Depal Pur","Haveli Rural","C/O","Haveli","Peer Ghani","006005","15-02-2022","9:00","15:00","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder","Village Pir Ghani"
