"251","LESCO","Okara","Renala","Satghra","O","Renala","Welcome Road","17608","01-02-2022","9:00","15:00","Tree Cutting and Jumper","Main Renala City ,Anwar Shaeed Colony Chak No 15/1L Branch Chak 21/2L"
"252","LESCO","Eastern","Shalamar","Bilal Colony","O","Bata Pur","KAY-CEE","001302","01-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Ram Pura Salampura suoter Mill"
"253","LESCO","Nothern","Data Darbar","Bhatti Gate","O","Bhatti","Kecehri Road","071114","01-02-2022","9:00","15:00","1.hecking Of 11KV Disc/Pin Spark/Crack & Jumper & Steel CrossTree trimming2.hecking Of 11KV Disc/Pin Spark/Crack & Jumper &Tree trimming","circular road, Fish Market, Mori Gate"
"254","LESCO","South","Gulberg","Shah Kamal","O","A.I.Town","Ayubia","000101","01-02-2022","9:00","15:00","for safety Purpose","Muslim Town"
"255","LESCO","Nankana","Bucheki","Syed Wala","O","Ali Juj","Dana Abad","022805","01-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","umer wala ,bag wala, khokey bhatti, thatha nehal, 'Chak No. 19, Chah Bagh Wala, Thatha Bhattian, Thatha Tarkhana, Thatha Nehal"
"256","LESCO","Nankana","Bucheki","Syed Wala","O","Ali Juj","Rajab","22802","01-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Tibi Nehal, Baig Wala, Chak no 20, Chak no 19  , Ghak no 23, Gughy shah darbar, Wan khichyan ,Chak no 24, Dhari wagh ali, Shah bilwal, Thatha star, Baho complex, Chohar shsh, dhari, ,Kot rai gulam,"
"257","LESCO","Nothern","K.A.Malk","K.A.Malk","O","Atta Abad","Al-Badar","000636","01-02-2022","9:00","15:00","For Safety","Independent"
"258","LESCO","Nothern","","","O","Atta Abad","Amir Steel","","01-02-2022","9:00","15:00","For Safety","Relate to Sheikhupura Circle"
"259","LESCO","Nothern","","Qila Sattar Shah","O","Atta Abad","Anmol paper","","01-02-2022","9:00","15:00","For Safety","Relate to Sheikhupura Circle"
"260","LESCO","Eastern","Baghbanpura","Baghbanpura","O","Shalamar 2","Shalamar Chowk","089316","01-02-2022","9:00","15:00","Annual Maintenance and protection testings of 132/11 KV System","Madina Colony Haq Nawaz"
"261","LESCO","Nothern","K.A.Malk","K.A.Malk","O","Atta Abad","Anmol Steel","000622","01-02-2022","9:00","15:00","For Safety","Independent"
"262","LESCO","Nothern","K.A.Malk","K.A.Malk","O","Atta Abad","Appalo","000601","01-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Qila Sattar Shah to Khan Pur Main SKP Road Left Side"
"263","LESCO","Nothern","","","O","Atta Abad","Atlas Honda","","01-02-2022","9:00","15:00","For Safety","Relate to Sheikhupura Circle"
"264","LESCO","Nothern","K.A.Malk","K.A.Malk","O","Atta Abad","Bilal Steel","000630","01-02-2022","9:00","15:00","For Safety","Independent"
"265","LESCO","Nothern","","","O","Atta Abad","Fling Pulp","","01-02-2022","9:00","15:00","For Safety","Relate to Sheikhupura Circle"
"266","LESCO","Nothern","K.A.Malk","K.A.Malk","O","Atta Abad","Fuarukh Shahzad","000632","01-02-2022","9:00","15:00","For Safety","Independent"
"267","LESCO","Nothern","","","O","Atta Abad","Honda","","01-02-2022","9:00","15:00","For Safety","Relate to Sheikhupura Circle"
"268","LESCO","Nothern","K.A.Malk","K.A.Malk","O","Atta Abad","I.T.I","000617","01-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Qila Sattar Shah to Khan Pur Main SKP Road Right Side"
"269","LESCO","Nothern","K.A.Malk","K.A.Malk","O","Atta Abad","Instaplast","000637","01-02-2022","9:00","15:00","For Safety","Independent"
"270","LESCO","Nothern","K.A.Malk","K.A.Malk","O","Atta Abad","KSF Tari Zone","000628","01-02-2022","9:00","15:00","For Safety","Independent"
"271","LESCO","Central","Johar Town","Wapda Town","O","Wapda Town","Wapda Town-5","050330","01-02-2022","9:00","15:00","General Maintenance","H-3 , H-4 Block Wapda Town"
"272","LESCO","Nothern","K.A.Malk","K.A.Malk","O","Atta Abad","Qadri","000613","01-02-2022","9:00","15:00","For Safety","Independent"
"273","LESCO","Nothern","K.A.Malk","K.A.Malk","O","Atta Abad","Rachna Industrial Park","","01-02-2022","9:00","15:00","For Safety","Independent"
"274","LESCO","Nothern","","","O","Atta Abad","Rawal","","01-02-2022","9:00","15:00","For Safety","Relate to Sheikhupura Circle"
"275","LESCO","Nothern","","","O","Atta Abad","Rupali","","01-02-2022","9:00","15:00","For Safety","Relate to Sheikhupura Circle"
"276","LESCO","Nothern","K.A.Malk","K.A.Malk","O","Atta Abad","S.N Cresent","000631","01-02-2022","9:00","15:00","For Safety","Independent"
"277","LESCO","Nothern","K.A.Malk","K.A.Malk","O","Atta Abad","Top Star Polymar","000629","01-02-2022","9:00","15:00","For Safety","Independent"
