"3199","LESCO","South","Gulberg","Gulberg","O","","Rehman Park Mini Market","017525","17-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Main Bouleverd Gulberg"
"3200","LESCO","South","Gulberg","Shah Kamal","O","A.I.Town","Karam abad","00019","17-02-2022","9:00","15:00","for safety Purpose","MAIN WAHDAT ROAD , REHMAN PURA WAHDAT ROAD for safety"
"3201","LESCO","Nankana","Bucheki","Syed Wala","O","Ali Juj","Farid Abad","022806","17-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Baho Coplex, Chak no 18/71 , Dhari Rai Akram,Chak no 16/69, Dhari Ramany ke, Near Canada Caloni, Chak No 17/70, Roshan Pura"
"3202","LESCO","Nankana","Bucheki","Syed Wala","O","Ali Juj","Syed Wala","022803","17-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","anada calony, Muheb shah, Chah Gango wala, Baho complex, Sona Kot, Dhop sari, , Kot Asghar shah, Near shanai Hall,Thath kaltera,"
"3203","LESCO","SKP","City SKP","Qila Sattar Shah","C/O","Atta Abad","Ali Paper","000615","17-02-2022","9:00","15:00","EOL From 485-KW to 1500-KW in the Name of M/S Panther Sports & Rubber Industries at Bhatti Dhilwan Distt. SKP Against App # 111/EOL/B-3 Dt 08-09-2021.","30% Completed"
"3204","LESCO","SKP","City SKP","Qila Sattar Shah","C/O","Atta Abad","Anwar Rasheed","000642","17-02-2022","9:00","15:00","EOL From 485-KW to 1500-KW in the Name of M/S Panther Sports & Rubber Industries at Bhatti Dhilwan Distt. SKP Against App # 111/EOL/B-3 Dt 08-09-2021.","30% Completed"
"3205","LESCO","SKP","City SKP","Qila Sattar Shah","C/O","Atta Abad","Ayesha","000602","17-02-2022","9:00","15:00","EOL From 485-KW to 1500-KW in the Name of M/S Panther Sports & Rubber Industries at Bhatti Dhilwan Distt. SKP Against App # 111/EOL/B-3 Dt 08-09-2021.","30% Completed"
"3206","LESCO","SKP","City SKP","Qila Sattar Shah","C/O","Atta Abad","Balochistan Glass","000633","17-02-2022","9:00","15:00","EOL From 485-KW to 1500-KW in the Name of M/S Panther Sports & Rubber Industries at Bhatti Dhilwan Distt. SKP Against App # 111/EOL/B-3 Dt 08-09-2021.","30% Completed"
"3207","LESCO","SKP","City SKP","Qila Sattar Shah","C/O","Atta Abad","Crown Steel","000616","17-02-2022","9:00","15:00","EOL From 485-KW to 1500-KW in the Name of M/S Panther Sports & Rubber Industries at Bhatti Dhilwan Distt. SKP Against App # 111/EOL/B-3 Dt 08-09-2021.","30% Completed"
"3208","LESCO","SKP","City SKP","Qila Sattar Shah","C/O","Atta Abad","Friend Steel","000640","17-02-2022","9:00","15:00","EOL From 485-KW to 1500-KW in the Name of M/S Panther Sports & Rubber Industries at Bhatti Dhilwan Distt. SKP Against App # 111/EOL/B-3 Dt 08-09-2021.","30% Completed"
"3209","LESCO","SKP","City SKP","Qila Sattar Shah","O","Atta Abad","Khanpur Canal /Tube Well","000605","17-02-2022","9:00","15:00","EOL From 485-KW to 1500-KW in the Name of M/S Panther Sports & Rubber Industries at Bhatti Dhilwan Distt. SKP Against App # 111/EOL/B-3 Dt 08-09-2021.","30% Completed"
