"3221","LESCO","Nankana","Bucheki","Bucheki","O","Bucheki","F-8","00906","17-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Near grid Near Kot Fazal, Pull Daik, Dhari Anian Di, Chah Jeeda, Moh. Rashid Park,"
"3222","LESCO","Central","A.I.Town","Rana Town","O","Bund Road","Amna Park","59913","17-02-2022","9:00","15:00","Tree Cutting","Rana Town"
"3223","LESCO","Nothern","Gulshan Ravi","Bund Road","O","Bund Road","Fazal Colony","059910","17-02-2022","9:00","15:00","1-For Safety2-HT LT JUMPER SET RIGHT3-For Safety4-For Safety","DOGAR MARKET, TEE NO 5, ASLAM SAPAI WALI GALI"
"3224","LESCO","Central","A.I.Town","Awan Town","O","Bund Road","Haidery Colony","59901","17-02-2022","9:00","15:00","Tree Cutting","Waseem Block Haider Park"
"3225","LESCO","Central","A.I.Town","Rana Town","O","Bund Road","Hanjerwall","59911","17-02-2022","9:00","15:00","Tree Cutting","80-feet Road"
"3226","LESCO","Nothern","Gulshan Ravi","Bund Road","O","Bund Road","Pedru Road","059902","17-02-2022","9:00","15:00","1-For Safety2-For Safety3-HT LT JUMPER SET RIGHT4- For Safety","PURANI PADRU GHATTI, KARAMT WELDING WALA, QARI ASGHAR GHATTI, SHAHEEN ABAD"
"3227","LESCO","Central","A.I.Town","Rana Town","O","Bund Road","Said Pur","59906","17-02-2022","9:00","15:00","Tree Cutting","80-Feet Road Duban Pura"
"3228","LESCO","Nothern","Gulshan Ravi","Bund Road","O","Bund Road","Shera kot","059909","17-02-2022","9:00","15:00","1-HT LT JUMPER SET RIGHT2-For Safety3-For Safety4-HT LT JUMPER SET RIGHT","BAO SAMI KI GHATII, NALA SHERA KOT, SAMI CHOWK"
"3229","LESCO","Nothern","Badami Bagh","Wassan Pura","O","Chah Miran","Misri Shah","2306","17-02-2022","9:00","15:00","Tree Cutting, Jumper Setright,Rep: of Pin, Disc /X-Arm","Raheem Road, Ganda Nala, Shamshad Park, Butt Chowk, 33-C misri Shah"
"3230","LESCO","Nothern","Badami Bagh","Sultanpura","O","Chah Miran","Umer Din Road","2313","17-02-2022","9:00","15:00","Tree Cutting, Jumper Setright,Rep: of Pin, Disc /X-Arm","Umer Din Road"
"3231","LESCO","Okara 4th","Depal Pur","Rural","C/O","Depal Pur","Asad Ullah Pur","026529","17-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Village Asad Ullah Pur"
"3232","LESCO","Okara 4th","Depal Pur","Urban","C/O","Depal Pur","City-II (Razaqia)","026512","17-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Fazal Ellah Colony, Abdullah Basti"
"3233","LESCO","Okara 4th","Depal Pur","Urban","C/O","Depal Pur","Dola Pukhta","26518","17-02-2022","9:00","15:00","Tree Cutting and Jumper","Village Dola Pukhta"
"3234","LESCO","Okara 4th","Depal Pur","Rural","C/O","Depal Pur","Gudara","026511","17-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Village Gudara"
"3235","LESCO","Okara 4th","Depal Pur","Urban","C/O","Depal Pur","Industrial (Peer Di Hatti)","026521","17-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","peer Di Hatti, Kharak Singh"
"3236","LESCO","Okara 4th","Depal Pur","Urban","C/O","Depal Pur","Kausar rice","026517","17-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Independent"
"3237","LESCO","Okara 4th","Depal Pur","Mazhar Abad","C/O","Depal Pur","Mancharian","26516","17-02-2022","9:00","15:00","Tree Cutting and Jumper","Village Mancharian"
"3238","LESCO","Okara 4th","Depal Pur","Rural","O","Depal Pur","Proben Abad","026505","17-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Village Probin Abad"
"3239","LESCO","Okara 4th","Depal Pur","Mazhar Abad","O","Depal Pur","S.S.M","026514","17-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Independent"
