"3240","LESCO","Okara 4th","Depal Pur","Rural","O","Depal Pur","Scarp (Chohan Shama)","026506","17-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Bhatta M.Ali, Gomay Wala"
"3241","LESCO","Kasur","Chunian","Ellah Abad West","O","Ellahabad","Dhuttay","50604","17-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station","90%"
"3242","LESCO","Kasur","Chunian","Ellahabad","O","Ellahabad","Ellahabad","50605","17-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station","90%"
"3243","LESCO","Kasur","Chunian","Ellahabad","O","Ellahabad","Ellahabad City","50611","17-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station","90%"
"3244","LESCO","Kasur","Chunian","Ellah Abad West","O","Ellahabad","Sarsiar","50610","17-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station","90%"
"3245","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Abu Bakar","027030","17-02-2022","9:00","15:00","11KV Deu Khara (EM) for Construction Work",""
"3246","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Al-Fateh Steel","027023","17-02-2022","9:00","15:00","Construction Work","Independent"
"3247","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Dhenga / Industrial P","027017","17-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Dhenga Village"
"3248","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Din Colony","027018","17-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Din Colony, Shakra Abbad,Wasan Pura"
"3249","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","EMCO","027001","17-02-2022","9:00","15:00","Construction Work","Independent"
"3250","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Farooq Steel","027026","17-02-2022","9:00","15:00","Construction Work","Independent"
"3251","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Hafeez Industry","027028","17-02-2022","9:00","15:00","For Safety","Independent"
"3252","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","K.A.Malik-II","027012","17-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Bhattain Wala,Mandiali Saran,Emco Colony"
"3253","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Madina Glass","027027","17-02-2022","9:00","15:00","Construction Work","Independent"
"3254","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Newage Cable","027016","17-02-2022","9:00","15:00","For Safety","Independent"
"3255","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Ranyal Synthetic","027022","17-02-2022","9:00","15:00","For Safety","Independent"
"3256","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Starlet Innovative","027024","17-02-2022","9:00","15:00","Construction Work","Independent"
"3257","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Variety Dying","027025","17-02-2022","9:00","15:00","For Safety","Independent"
