"3291","LESCO","Nankana","Nankana","City","O","Nankana","Nabi Pur","052002","17-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Abadi Nabi Pura, Kot Sanat Raam and Area"
"3292","LESCO","Okara","Okara Cantt","Karmawala","O","Okara City -1","Fazal Shah","015203","17-02-2022","9:00","15:00","Tree Cutting and Jumper","12/1L,13/1L , Depal Pur Road, Makka Madina -I &II"
"3293","LESCO","Okara","Okara","City","O","Okara City -1","Major M. Shaheed","15222","17-02-2022","9:00","15:00","Tree Cutting and Jumper","Chak No.1/4-L, saith colony , shorakothi, Green City, Rahim town"
"3294","LESCO","Okara","Okara Cantt","Peoples Colony","O","Okara City -1","Power House","15205","17-02-2022","9:00","15:00","Tree Cutting and Jumper","Kot Nahial Sing, Sirki Muhalla, Gulshan Fatima, Ahmad Town, Bajwa colony, Kot amitr ali shah, Firdos Town, wazir colony, kot yaqoob abad\"
"3295","LESCO","Okara 4th","Okara","Rural","O","Okara City-II","Canal (Nizami)","084907","17-02-2022","9:00","15:00","Bifurcation of 11 KV Shadipur Feeder From 132 KV Okara City-II Grid Station 11 KV Shadia Pura (EM) Feeder","Canal Road, Socity"
"3296","LESCO","Okara","Okara Cantt","Civil Line","O","Okara City-II","Dist. Complex","84909","17-02-2022","9:00","15:00","Tree Cutting and Jumper","Sheikh Basti, Dist. Complex"
"3297","LESCO","Kasur","Kot Radha Kishan","Raja Jang","O","Old Raiwind","Kalu Khara","035317","17-02-2022","9:00","15:00","Tree Triming, Re-Sagging, Set Right Tilted Poles, X-Arms, Pin Insulator, Kite/Threads/Nest removing & replacement of damaged LT/HT jumpers",""
"3298","LESCO","Kasur","Kot Radha Kishan","Raja Jang","O","Old Raiwind","Rao Khan Wala","035317","17-02-2022","9:00","15:00","Tree Triming, Re-Sagging, Set Right Tilted Poles, X-Arms, Pin Insulator, Kite/Threads/Nest removing & replacement of damaged LT/HT jumpers",""
"3299","LESCO","Kasur","Phool Nagar","Pattoki City","O","Pattoki","Abbas / City","015811","17-02-2022","9:00","15:00","Area Planning of proposed Changa Manga City Feeder from 132 KV Pattoki Grid Station and 11 KV Wan Adhan Feeder from 132 KV Chunian Grid Station for the utilization of idle line","0%"
"3300","LESCO","Kasur","Chunian","Changa Manga","O","Pattoki","Changa Manga City","15820","17-02-2022","9:00","15:00","Area Planning of proposed Changa Manga City Feeder from 132 KV Pattoki Grid Station and 11 KV Wan Adhan Feeder from 132 KV Chunian Grid Station for the utilization of idle line",""
"3301","LESCO","Kasur","Phool Nagar","Pattoki City","O","Pattoki","Defence View","15821","17-02-2022","9:00","15:00","",""
"3302","LESCO","Kasur","Phool Nagar","Pattoki City","O","Pattoki","Hallah Chowk","015815","17-02-2022","9:00","15:00","Work Order No. NILStarting Date 12-2021One Point Supply of D/W Army Ammunition Depot Pattoki Cantt % age of work Completed 0%","0%"
"3303","LESCO","Kasur","Phool Nagar","Pattoki Rural","O","Pattoki","Hanjran Kalan","015816","17-02-2022","9:00","15:00","Work Order No. NILStarting Date 12-2021One Point Supply of D/W Army Ammunition Depot Pattoki Cantt % age of work Completed 0%","0%"
"3304","LESCO","Kasur","Phool Nagar","Pattoki Rural","O","Pattoki","Jaguwala","015817","17-02-2022","9:00","15:00","Work Order No. NILStarting Date 12-2021One Point Supply of D/W Army Ammunition Depot Pattoki Cantt % age of work Completed 0%","0%"
"3305","LESCO","Kasur","Phool Nagar","Hallah","O","Pattoki","Kacha Pacca","015804","17-02-2022","9:00","15:00","Area Planning of proposed Changa Manga City Feeder from 132 KV Pattoki Grid Station and 11 KV Wan Adhan Feeder from 132 KV Chunian Grid Station for the utilization of idle line","0%"
