"3446","LESCO","Nothern","Badami Bagh","Shad Bagh","C/O","Badami Bagh","Zahid Parwaiz","23319","20-02-2022","9:00","15:00","Safety","Ind"
"3447","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","Adil Textile","087126","20-02-2022","9:00","15:00","Supply of Power to M/S Hadi Spinning Mill, M/S Babar Spinnging Mills & M/S Siddiq Fibres Mills Through 11-KV Proposed Independent Feeder from 132-KV Bhikhi Grid","60% Completed"
"3448","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","Ahsan Youns","087121","20-02-2022","9:00","15:00","Supply of Power to M/S Hadi Spinning Mill, M/S Babar Spinnging Mills & M/S Siddiq Fibres Mills Through 11-KV Proposed Independent Feeder from 132-KV Bhikhi Grid","60% Completed"
"3449","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","Ameen","087111","20-02-2022","9:00","15:00","EOL From 499-KW to 2500-KW in the Name of M/S Surge Labs Pvt Ltd at FSD Road Sheikhupura App No. 1064/New/B-3 Dated 28-05-2021","80% Completed"
"3450","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","Bhenero","087115","20-02-2022","9:00","15:00","Supply of Power to M/S Hadi Spinning Mill, M/S Babar Spinnging Mills & M/S Siddiq Fibres Mills Through 11-KV Proposed Independent Feeder from 132-KV Bhikhi Grid","60% Completed"
"3451","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","Bhikhi","","20-02-2022","9:00","15:00","EOL From 499-KW to 2500-KW in the Name of M/S Surge Labs Pvt Ltd at FSD Road Sheikhupura App No. 1064/New/B-3 Dated 28-05-2021","80% Completed"
"3452","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","Country Board","087120","20-02-2022","9:00","15:00","Supply of Power to M/S Hadi Spinning Mill, M/S Babar Spinnging Mills & M/S Siddiq Fibres Mills Through 11-KV Proposed Independent Feeder from 132-KV Bhikhi Grid","60% Completed"
"3453","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","Crescent","087102","20-02-2022","9:00","15:00","EOL From 499-KW to 2500-KW in the Name of M/S Surge Labs Pvt Ltd at FSD Road Sheikhupura App No. 1064/New/B-3 Dated 28-05-2021","80% Completed"
"3454","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","Crescent Fibber","087116","20-02-2022","9:00","15:00","Supply of Power to M/S Hadi Spinning Mill, M/S Babar Spinnging Mills & M/S Siddiq Fibres Mills Through 11-KV Proposed Independent Feeder from 132-KV Bhikhi Grid","60% Completed"
"3455","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","Ijaz Spinning","087117","20-02-2022","9:00","15:00","EOL From 499-KW to 2500-KW in the Name of M/S Surge Labs Pvt Ltd at FSD Road Sheikhupura App No. 1064/New/B-3 Dated 28-05-2021","80% Completed"
"3456","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","Industrial-3","087104","20-02-2022","9:00","15:00","EOL From 499-KW to 2500-KW in the Name of M/S Surge Labs Pvt Ltd at FSD Road Sheikhupura App No. 1064/New/B-3 Dated 28-05-2021","80% Completed"
"3457","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","Industrial-4","087105","20-02-2022","9:00","15:00","Supply of Power to M/S Hadi Spinning Mill, M/S Babar Spinnging Mills & M/S Siddiq Fibres Mills Through 11-KV Proposed Independent Feeder from 132-KV Bhikhi Grid","60% Completed"
"3458","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","King Fiber","","20-02-2022","9:00","15:00","EOL From 499-KW to 2500-KW in the Name of M/S Surge Labs Pvt Ltd at FSD Road Sheikhupura App No. 1064/New/B-3 Dated 28-05-2021","80% Completed"
"3459","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","Kotla","087109","20-02-2022","9:00","15:00","M/S Hadi Spinning Mill, & M/S Surge Labs","60% Completed"
"3460","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","MGM","087118","20-02-2022","9:00","15:00","Supply of Power to M/S Hadi Spinning Mill, M/S Babar Spinnging Mills & M/S Siddiq Fibres Mills Through 11-KV Proposed Independent Feeder from 132-KV Bhikhi Grid","60% Completed"
"3461","LESCO","SKP","Rural  SKP","Bhikhi","C/O","Bhikhi","National Feeds","087119","20-02-2022","9:00","15:00","Supply of Power to M/S Hadi Spinning Mill, M/S Babar Spinnging Mills & M/S Siddiq Fibres Mills Through 11-KV Proposed Independent Feeder from 132-KV Bhikhi Grid","60% Completed"
