"3477","LESCO","Central","Raiwind","Lahore Park","C/O","DHA","Industiral-P","115716","20-02-2022","9:00","15:00","Annual Maintenance","Main Raiwind Road Lahore"
"3478","LESCO","South","Gulberg","Garden Town","C/O","Garden Town","Model Town-2","004312","20-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","model town"
"3479","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Afaq Steel","050719","20-02-2022","9:00","15:00","For Safety","Independent"
"3480","LESCO","Nothern","K.A.Malk","SKP Road","C/O","Green View","Ahmad Glass","050725","20-02-2022","9:00","15:00","For Safety","Independent"
"3481","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Al-Bashir Steel","050716","20-02-2022","9:00","15:00","For Safety","Independent"
"3482","LESCO","Nothern","K.A.Malk","Burj Attari","C/O","Green View","Al-Jaleel Garden","050731","20-02-2022","9:00","15:00","For Safety","Independent"
"3483","LESCO","Nothern","K.A.Malk","Burj Attari","C/O","Green View","Babar Industry","050738","20-02-2022","9:00","15:00","For Safety","Independent"
"3484","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Batala Steel-I","050713","20-02-2022","9:00","15:00","For Safety","Independent"
"3485","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Better Engineering","050712","20-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Khan Town,Moman Pura"
"3486","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Crescent Dye","050736","20-02-2022","9:00","15:00","For Safety","Independent"
"3487","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Empire Paper Mill","050727","20-02-2022","9:00","15:00","For Safety","Independent"
"3488","LESCO","Nothern","K.A.Malk","SKP Road","C/O","Green View","Infinity Engineering","050728","20-02-2022","9:00","15:00","For Safety","Independent"
"3489","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","K.A.Malik-I","050710","20-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Javaid Nagar"
"3490","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Mughal Alloy","050722","20-02-2022","9:00","15:00","For Safety","Independent"
"3491","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Nizami Wire","050729","20-02-2022","9:00","15:00","For Safety","Independent"
"3492","LESCO","Nothern","K.A.Malk","SKP Road","C/O","Green View","Noori Boori","050737","20-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Noori Boori Darbar,40 Feet Bazar,Mallo Wala Bazar,Zahid Town"
"3493","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Pindi Das","050702","20-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Thatha Qurashian,Mughal Steel Rood"
"3494","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Precion Forgen-I","050732","20-02-2022","9:00","15:00","For Safety","Independent"
"3495","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Punjab Concast","050706","20-02-2022","9:00","15:00","For Safety","Independent"
"3496","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Quality Costing","050733","20-02-2022","9:00","15:00","For Safety","Independent"
"3497","LESCO","Nothern","K.A.Malk","SKP Road","C/O","Green View","Rachna Glass","050709","20-02-2022","9:00","15:00","For Safety","Independent"
"3498","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Sardar Steel","050726","20-02-2022","9:00","15:00","For Safety","Independent"
"3499","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Sial","050704","20-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Ghugian Sialan,Mission,Gulifshan Town"
"3500","LESCO","Nothern","K.A.Malk","SKP Road","C/O","Green View","Siddique Leather","050723","20-02-2022","9:00","15:00","For Safety","Independent"
"3501","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","SKP Road","050715","20-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Main SKP Road"
"3502","LESCO","Nothern","K.A.Malk","SKP Road","C/O","Green View","Tendries","050708","20-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Rehman Abad,Raza Abad,Thatha Khuda Yar"
"3503","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","Green View","Thatha Akbar","050724","20-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Match Factory Road,Iqbal Town"
"3504","LESCO","Nothern","K.A.Malk","Burj Attari","C/O","Green View","Wahgrey","050735","20-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Village Wahgray,Bansi Nagar,Bhagiarwala"
