"3541","LESCO","South","Gulberg","Gulberg","C/O","Garden Town","Children Hospital","004323","20-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","CHILDREN HOSIPITAL"
"3542","LESCO","Eastern","Baghbanpura","Mehmood Booti","C/O","Daroghawala","Kot Farzand","100310","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Bhahni Road JuGiyan Lakhodair Mian Town"
"3543","LESCO","Eastern","Baghbanpura","Mehmood Booti","C/O","Mominpura","D.G Khan Cement","110605","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","In depended"
"3544","LESCO","Eastern","Shalamar","Wahga Road","C/O","Bata Pur","Momanpura","001306","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Javeed General Store"
"3545","LESCO","Eastern","Shalamar","Wahga Road","C/O","Bata Pur","Waheed Furnace","001314","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Moman Pura Road, Wara Gujran, Handoo, RinG Road, etc.,"
"3546","LESCO","Eastern","Mughalpura","Taj Bagh","C/O","Mominpura","Ali Hajvary","110608","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Hajvary Scheem Canal Road"
"3547","LESCO","Eastern","Shalamar","Wahga Road","C/O","Mominpura","Babri Steel","-","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Ind"
"3548","LESCO","Eastern","Baghbanpura","Mehmood Booti","C/O","Mominpura","Bhani Road","110614","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Bhani Village"
"3549","","","","Shalamar","C/O","Mominpura","G.M Steel","110605","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Ind"
"3550","LESCO","Eastern","Shalamar","Wahga Road","O","Mominpura","Haji Park / Dubai Park","110603","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Haji Park"
"3551","LESCO","Eastern","Baghbanpura","Mehmood Booti","C/O","Mominpura","Kot Abdulah","110612","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Kot Abdullah etc"
"3552","LESCO","Eastern","Shalamar","Bata PUR","O","Mominpura","Kot Done Chand","110611","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Kot Doni Chand Al Kareem Garden"
"3553","","","","Baghbanpura","C/O","Mominpura","Madina Steel","-","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","In depended"
"3554","LESCO","Eastern","Baghbanpura","Mehmood Booti","C/O","Mominpura","Marl Mari","110613","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Gunjy Chowk Bhani Road VillaGe Marl Mari"
"3555","LESCO","Eastern","Shalamar","Wahga Road","C/O","Mominpura","Momanpura Road","110601","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Momanpura Road"
"3556","LESCO","Eastern","Shalamar","Wahga Road","C/O","Mominpura","Taij Garh","110610","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Taij Garh Handoo"
"3557","","","","Mehmood Booti","C/O","Mominpura","Turkey Road  110618","","20-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Turkey Road"
"3558","LESCO","SKP","Muridke","Narang North","O","Narang","Mirowal","33604","21-02-2022","9:00","15:00","Tree Cutting, Sit Right Jumper, Loss Sag, ETC",""
