"3559","LESCO","SKP","Muridke","Narang South","O","Narang","Narang City","33605","21-02-2022","9:00","15:00","Tree Cutting, Sit Right Jumper, Loss Sag, ETC",""
"3560","LESCO","Okara 4th","Renala","City","C/O","Renala","Rao Zia Ud Din","017610","21-02-2022","9:00","15:00","Area Development Housing Scheme-II Renala ( Naya Pakistan)","Govt H/S, Muslam Town,Green City, 17/1L,9/1L"
"3561","LESCO","Eastern","Shalamar","Shalamar","C/O","Shalamar","Pakistan Mint","019411","21-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Pakistan Mint"
"3562","LESCO","Nothern","Ferozwala","Rachana Town","C/O","Shamkey","Islam Steel","50801","21-02-2022","9:00","15:00","1-Sitright HT/LT Jumper2-Sitright HT/LT Jumper3-Sitright HT/LT Jumper4-Sitright HT/LT Jumper","Village Ferozewala, Haider Road Hanif Park ."
"3563","LESCO","Nothern","Ferozwala","Ali Park","C/O","Shamkey","Sher-e- Bangal","50824","21-02-2022","9:00","15:00","1-Sitright HT/LT Jumper/Tree Trimming2-For Safety3-Sitright HT/LT Jumper/Tree Trimming4-For Safety5-Sitright HT/LT Jumper/Tree Trimming","Ali Park, Khan Town, Bhullay Dasanwal, Sher-e-Bangal Colony,  TayybaTown, ChakNo. 39,40,42,43"
"3564","LESCO","South","Gulberg","Shah Kamal","O","Garden Town","Anmol","004319","21-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Inmol Hosipital"
"3565","LESCO","Eastern","Shalamar","Shalamar","C/O","Shalamar","Shalamar Town","019412","21-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Lakhodair Road Siraj pura NaseeraAbad"
"3566","LESCO","Nothern","Ferozwala","Ali Park","C/O","Shamkey","Industrial P","","21-02-2022","9:00","15:00","1-Sitright HT/LT Jumper2-Sitright HT/LT Jumper3-Sitright HT/LT Jumper4-Sitright HT/LT Jumper","Phathan Colony, Bhullay dasanwal, Chak No. 41, Collage Road"
"3567","LESCO","Nothern","Ferozwala","Ali Park","C/O","Shamkey","Qila Kalar","50840","21-02-2022","9:00","15:00","1-Sitright HT/LT Jumper/Tree Trimming2-Sitright HT/LT Jumper/Tree Trimming3-For Safety 4-Sitright HT/LT Jumper/Tree Trimming5-For Safety","Shami Park Dargai Gill Jadeed, Dergai Gill Qadeem, Kalar, Rangian Jhangian."
"3568","LESCO","South","Aziz Bhatti","Guldasht Town","O","Paragone","Army","116105","21-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Phullarwan"
"3569","LESCO","SKP","City SKP","Jandiala Road","O","Ayesha","Royal Leather","091209","21-02-2022","9:00","15:00","Maintenance Of 11 Kv feeders",""
"3570","LESCO","SKP","City SKP","Jandiala Road","O","I.C.I","Subhanallah Steel","075320","21-02-2022","9:00","15:00","Maintenance Of 11 Kv feeders",""
"3571","LESCO","Okara","Okara Cantt","Cantt","O","Okara City -1","Lakra wala","15207","21-02-2022","9:00","15:00","Tree Cutting and Jumper/For Safety","Chak No.55,56-D,55/BD,  /6/4L"
"3572","LESCO","SKP","City SKP","Attabad","O","I.C.I","A A. Paper","75322","21-02-2022","9:00","15:00","For Safety of CKM -1 Feeder",""
"3573","LESCO","SKP","City SKP","Attabad","O","I.C.I","Al Mezan Board","75326","21-02-2022","9:00","15:00","For Safety of CKM -1 Feeder  and Royal Leather Feeder",""
"3574","LESCO","SKP","City SKP","Attabad","O","I.C.I","CKM-1","7530","21-02-2022","9:00","15:00","Maintenance Of 11 Kv feeders",""
"3575","LESCO","SKP","City SKP","Attabad","O","I.C.I","Qadria board","75305","21-02-2022","9:00","15:00","For Safety of CKM -1 Feeder",""
"3576","LESCO","Central","A.I.Town","A.I.Town","O","A.I.Town","Clifton Colony","111","21-02-2022","9:00","15:00","Tree Cutting","Clifton Colony"
"3577","LESCO","Central","A.I.Town","Canal Road","O","A.I.Town","Gulshan Iqbal","102","21-02-2022","9:00","15:00","Tree Cutting","Raza Block PWD Colony"
"3578","LESCO","Central","A.I.Town","A.I.Town","O","A.I.Town","Hunza","117","21-02-2022","9:00","15:00","Tree Cutting","Hunza Block"
"3579","LESCO","Central","A.I.Town","A.I.Town","O","A.I.Town","Neelum","18423","21-02-2022","9:00","15:00","Tree Cutting","Moon Market Ganda Nala"
"3580","LESCO","Central","A.I.Town","Canal Road","O","A.I.Town","Raza","116","21-02-2022","9:00","15:00","Tree Cutting","Science College Nizam Block"
"3581","LESCO","Central","A.I.Town","A.I.Town","O","A.I.Town","Satluj","108","21-02-2022","9:00","15:00","Tree Cutting","Main Bulayward"
"3582","LESCO","Central","A.I.Town","Canal Road","O","A.I.Town","Sparco","113","21-02-2022","9:00","15:00","Tree Cutting","Karim Block Market Karim Block"
