"3632","LESCO","Nothern","K.A.Malk","G.T Road","O","New Shahdara","Islam Nagar","036921","21-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Kot Shahb Din,Raja Colony,Main Shahdara Road,Jinah Colony,Fashin House Bazar,Dolat Khan Road,Vandala Road"
"3633","LESCO","Okara","Okara Cantt","Peoples Colony","O","Okara City -1","Bolan Farm","15211","21-02-2022","9:00","15:00","Tree Cutting and Jumper","Chak No.53/2-L, Khalid Town, Mehboob town, sharif town, sukh chain town, 5/4L 5/A4L,Ibrahim Colony"
"3634","LESCO","Okara","Okara Cantt","Civil Line","C/O","Okara City-II","Akbar Road","84904","21-02-2022","9:00","15:00","Tree Cutting and Jumper","Akbar Road 41/3R"
"3635","LESCO","Okara","Okara","City","C/O","Okara City-II","Company bagh","84901","21-02-2022","9:00","15:00","Tree Cutting and Jumper","Thandi Sarak, Waris Colony"
"3636","LESCO","Okara 4th","Okara","Civil Line","C/O","Okara City-II","D.H.Q","84915","21-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Faisal Abad Road Feeder from 132 KV Okara City-II G/S 11 KV Chak 18/GD (P) Feeder","Independent"
"3637","LESCO","Okara","Okara","Rural","C/O","Okara City-II","Faisal Abad Road","84908","21-02-2022","9:00","15:00","Tree Cutting and Jumper","Faisal Abad Road , Model Town"
"3638","LESCO","Okara","Okara Cantt","Civil Line","C/O","Okara City-II","Fawar Chowk","84902","21-02-2022","9:00","15:00","Tree Cutting and Jumper","Ravi Road, Fawara Chowk"
"3639","LESCO","Okara 4th","Okara","Rural","O","Okara City-II","Fazal Paper","084912","21-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Faisal Abad Road Feeder from 132 KV Okara City-II G/S 11 KV Chak 18/GD (P) Feeder","0%"
"3640","LESCO","Okara 4th","Okara","Rural","O","Okara City-II","Harnian Wala","084916","21-02-2022","9:00","15:00","Tree Cutting and Jumper","Harnian Wala"
"3641","LESCO","Okara","Okara","City","C/O","Okara City-II","Rehmat Pura","84911","21-02-2022","9:00","15:00","Tree Cutting and Jumper","Rehmat Pura"
"3642","LESCO","Okara 4th","Okara","Rural","C/O","Okara City-II","Salva Oil","","21-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Faisal Abad Road Feeder from 132 KV Okara City-II G/S 11 KV Chak 18/GD (P) Feeder","0%"
"3643","LESCO","South","Defence","Walton","O","Old Kot Lakhpat","Academy Road","008216","21-02-2022","9:00","15:00","Maintenance of 11 Kv feeders","Madina Colony"
"3644","LESCO","Kasur","Phool Nagar","Hallah","O","Pattoki","Baherwal","015810","21-02-2022","9:00","15:00","Area Planning of proposed Changa Manga City Feeder from 132 KV Pattoki Grid Station and 11 KV Wan Adhan Feeder from 132 KV Chunian Grid Station for the utilization of idle line National Power Plant11 KV Wan Adhan (P)","0%"
"3645","LESCO","Kasur","Chunian","Chunian West","O","Pattoki","Bhagoki","025411","21-02-2022","9:00","15:00","Area Planning / Bifurcation of 11kV New Mandi feeder from 132kV Pattoki G/S , 11kV Changa Manga feeder from 132kV Chunian G/S and 11kV New Changa Manga feeder from 132kV Kot Radha Kishan G/S11KV Bhagoki (P) FeederBifurcation / Area Planning of 11KV Jandwala Feeder Emanating from 132Kv Chunian Grid Station 11KV Jandwala (EM) Feeder",""
"3646","LESCO","Kasur","Phool Nagar","Pattoki Rural","O","Pattoki","Lakhodair","112901","21-02-2022","9:00","15:00","Tree Triming, Re-Sagging, Set Right Tilted Poles, X-Arms, Pin Insulator, Kite/Threads/Nest removing & replacement of damaged LT/HT jumpers",""
"3647","LESCO","Kasur","Phool Nagar","Jumber","C/O","Phool Nagar","Baghiana Kalan","001539","21-02-2022","9:00","15:00","Tree Triming, Re-Sagging, Set Right Tilted Poles, X-Arms, Pin Insulator, Kite/Threads/Nest removing & replacement of damaged LT/HT jumpers","Baghiana Kalan"
"3648","LESCO","Kasur","Phool Nagar","S/Nagar","C/O","Phool Nagar","Bhai Pheru-1","001501","21-02-2022","9:00","15:00","Tree Triming, Re-Sagging, Set Right Tilted Poles, X-Arms, Pin Insulator, Kite/Threads/Nest removing & replacement of damaged LT/HT jumpers","Bhai Pheru-1"
"3649","LESCO","Kasur","Phool Nagar","Jumber","C/O","Phool Nagar","Big Bird","1535","21-02-2022","9:00","15:00","Tree Triming, Re-Sagging, Set Right Tilted Poles, X-Arms, Pin Insulator, Kite/Threads/Nest removing & replacement of damaged LT/HT jumpers","Big Bird"
