"3694","LESCO","Eastern","Shalamar","Bilal Colony","C/O","Shalamar 2","S.J Steel","089305","21-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","In depended"
"3695","LESCO","Nankana","Nankana","Faiz Abad","O","Sharaq Pur","Faiz Abad","037208","21-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Faiz Abad and Area"
"3696","LESCO","Nothern","K.A.Malk","Sharqpur","O","Sharaq Pur","Kot Mehmood","037207","21-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Village Kot Mehmood,Dera Malik Abid,Essan,Niazm Pura"
"3697","LESCO","Nothern","K.A.Malk","Burj Attari","O","Sharaq Pur","Mandianwala","037206","21-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Mandianwala,Narijni,Nasira Abad,Dhamky,Chak 23,Thikriwala"
"3698","LESCO","SKP","Rural  SKP","C/LINE","O","Sheikhupura","F/Abad Road","19714","21-02-2022","9:00","15:00","Tree Trimming Jumpers set right loos saging x-arms set right",""
"3699","LESCO","SKP","Rural  SKP","C/Line","O","Sheikhupura","Kachery","19737","21-02-2022","9:00","15:00","Tree Trimming Jumpers set right loos saging x-arms set right",""
"3700","LESCO","SKP","City SKP","Waris Shah","C/O","SKP Industrial","Herdev","90205","21-02-2022","9:00","15:00","New Connection for a Load of 1500-KW in the Name of M/S Star Enterprises at 8-KM Gujranwala Road SKP App #  1116/New dated 17-09-2021","5% Completed"
"3701","LESCO","SKP","City SKP","Waris Shah","C/O","SKP Industrial","Nishtar Road","90202","21-02-2022","9:00","15:00","New Connection for a Load of 1500-KW in the Name of M/S Star Enterprises at 8-KM Gujranwala Road SKP App #  1116/New dated 17-09-2021","5% Completed"
"3702","LESCO","SKP","City SKP","Waris Shah","C/O","SKP Industrial","Shesh Mehal","90209","21-02-2022","9:00","15:00","New Connection for a Load of 1500-KW in the Name of M/S Star Enterprises at 8-KM Gujranwala Road SKP App #  1116/New dated 17-09-2021","5% Completed"
"3703","LESCO","SKP","City SKP","Waris Shah","C/O","SKP Industrial","Spectrum Plastic","90207","21-02-2022","9:00","15:00","New Connection for a Load of 1500-KW in the Name of M/S Star Enterprises at 8-KM Gujranwala Road SKP App #  1116/New dated 17-09-2021","5% Completed"
"3704","LESCO","SKP","City SKP","Waris Shah","C/O","SKP Industrial Waris Shah","","90201","21-02-2022","9:00","15:00","New Connection for a Load of 1500-KW in the Name of M/S Star Enterprises at 8-KM Gujranwala Road SKP App #  1116/New dated 17-09-2021","5% Completed"
"3705","LESCO","SKP","Farooq Abad","Khanqa Dogran","O","Sukheki","Dhabban","037902","21-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Village Dhaban"
"3706","LESCO","SKP","Farooq Abad","Khanqa Dogran","O","Sukheki","New Dhabban","037908","21-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Mochi walaNear Sam NalaNear Dera TanveerNew Dhaban"
"3707","LESCO","Nankana","Manawala","Feroze Wattowan","O","Walgon Sohail","Maan","082608","21-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of 04 No.  Deterioated Poles,","Kot Khazan Chand , Near Akram Maan Cha Yousaf ,Walgon Sohail,Barkat Pura"
"3708","LESCO","Kasur","Phool Nagar","Pattoki Rural","O","Wan Radha Ram","Pattoki","001508","21-02-2022","9:00","15:00","D/W new industrial connection  for load 2000 KW B-III for  M/S Shadab Textile Mills Chunian Road Habibabad","Village Pattoki"
"3709","LESCO","South","Defence-East","Airport","O","Willington Mall","Badian Road","078110","21-02-2022","9:00","15:00","Maintenance Of 11 Kv feeders","Nadir Abad,Arif abad, DA D Flates, and Fauji Foundation Hospital, Ali Park"
"3710","LESCO","Nothern","Ferozwala","Ali Park","C/O","Shamkey","Diamond Polly","50831","21-02-2022","9:00","15:00","1-ELR/ operation Safety2-ELR/ operation Safety3-ELR/ operation Safety4-ELR/ operation Safety","Independent"
"3711","LESCO","Nothern","Ferozwala","Ali Park","C/O","Shamkey","New  Muslim International","50819","21-02-2022","9:00","15:00","1-ELR/ operation Safety2-ELR/ operation Safety3-ELR/ operation Safety4-ELR/ operation Safety","Independent"
"3712","LESCO","Nothern","Ferozwala","Ali Park","C/O","Shamkey","Punjab Judicial","50838","21-02-2022","9:00","15:00","1-ELR/ operation Safety2-ELR/ operation Safety3-ELR/ operation Safety4-ELR/ operation Safety","Independent"
