"378","LESCO","South","Cantt","Saddar","O","Cantt","CMA Colony","094907","02-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Shabbir Rd, Aludin Rd, Asad Jan Rd, Zahoor Afridi Rd, Abid Majeed Rd & Sarwar Rd"
"379","LESCO","Eastern","Baghbanpura","Madina Colony","O","Chah Miran","Janipura","002310","02-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Chowk Shawala Nazam Abad SinG Pura"
"380","LESCO","Eastern","Baghbanpura","Madina Colony","O","Chah Miran","Suleman Park","002317","02-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Shair Shah Road Shahab Park Yaqoob Colony"
"381","LESCO","Nothern","Badami Bagh","Wassan Pura","O","Chah Miran","Taj Pura","2314","02-02-2022","9:00","15:00","Tree Cutting, Jumper Setright,Rep: of Pin, Disc /X-Arm","Mohammadi Mohallah, Shamshad park, Gujjaran Wali Gali, St. No. 61-D"
"382","LESCO","South","Defence-East","Al-Falah Town","O","Defence","Lidher","042602","02-02-2022","9:00","15:00","Maintenance Of 11 Kv feeders","Chung Khurd, UBL Housing Society, Madina Park, Al-Falah Town"
"383","LESCO","Okara 4th","Depal Pur","Mazhar Abad","C/O","Depal Pur","Fareed Kot","026503","02-02-2022","9:00","15:00","Tree Cutting and Jumper","Village Fareed Kot"
"384","LESCO","Okara 4th","Depal Pur","Mazhar Abad","C/O","Depal Pur","Kandowal","026528","02-02-2022","9:00","15:00","Tree Cutting and Jumper","Village Kandowal"
"385","LESCO","Okara 4th","Depal Pur","Urban","O","Depal Pur","Sakhi Sadeen","26502","02-02-2022","9:00","15:00","Tree Cutting and Jumper","Village Sakhi Sadeen"
"386","LESCO","Kasur","Chunian","Ellahabad","O","Ellahabad","Attari Karam Singh","50602","02-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station11KV Deu Khara (EM) for Dismentlement11KV Pakhoki (P)","90%"
"387","LESCO","Kasur","Chunian","Ellah Abad West","C/O","Ellahabad","BaqaPur","50609","02-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station11KV Deu Khara (EM) for Dismentlement11KV Pakhoki (P)","90%"
"388","LESCO","Kasur","Chunian","Ellahabad","C/O","Ellahabad","Deo Khara","50603","02-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station11KV Deu Khara (EM) for Dismentlement11KV Pakhoki (P)","90%"
"389","LESCO","Kasur","Chunian","Ellah Abad West","C/O","Ellahabad","Gehaln","050601","02-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station11KV Deu Khara (EM) for Dismentlement11KV Pakhoki (P)","90%"
"390","LESCO","Kasur","Chunian","Ellahabad","C/O","Ellahabad","Pakhoki","050613","02-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station11KV Deu Khara (EM) for Dismentlement11KV Pakhoki (P)","90%"
"391","LESCO","Kasur","Chunian","Ellah Abad West","C/O","Ellahabad","Tariq Arshad","50608","02-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station11KV Deu Khara (EM) for Dismentlement11KV Pakhoki (P)","90%"
"392","LESCO","SKP","Farooq Abad","(South) Farooq Abad","O","Farooq Abad","C-1","027103","02-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Village Bahar"
"393","LESCO","SKP","Farooq Abad","Sucha Souda","O","Farooq Abad","C-6","027106","02-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Vill: Sucha Sauda.Jatri road.,Nr Darbar Rang Sai."
"394","LESCO","SKP","Farooq Abad","(North) Farooq Abad","O","Farooq Abad","Jhabran","027117","02-02-2022","9:00","15:00","Safety","NR Motor Way.Vill: Warn.Dera Chobachiana"
"395","LESCO","SKP","Farooq Abad","(North) Farooq Abad","O","Farooq Abad","Plua","027110","02-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Plua villageVillage Kaloky"
"396","LESCO","SKP","Farooq Abad","(South) Farooq Abad","O","Farooq Abad","Rasool Pura","027107","02-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Lhr Sargodha road,Moh: Gorunanakpura,"
