"3982","LESCO","Nankana","Shahkot","Shahkot City","O","Shahkot","S-5","019210","22-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Main D-Fuse, Main Line Nr. Maqbool T/W, Chak No. 18, T-Off Chak No. 81, Chak No. 17, Near Gulab Farm, Thotian Khurd, Chak No. 79, Chak No. 13, Chak No. 78, Thotian Kalan"
"3983","LESCO","Eastern","Baghbanpura","Mehmood Booti","C/O","Shalamar","K.T.W.(Karol Tube Well)","019407","22-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Khizra Abad M.B.Bude"
"3984","LESCO","Eastern","Mughalpura","Angoori Bagh","O","Shalamar 2","Sahar Road","089317","22-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Daras Road Sehar Road"
"3985","LESCO","Nothern","K.A.Malk","Sharqpur","O","Sharaq Pur","Mian Sher Muhammad","037209","22-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Sikhan Wala,Ary Wala Chowk,Main Bazar Hakeem Gahri,Nabi Pura"
"3986","LESCO","Nothern","K.A.Malk","Burj Attari","O","Sharaq Pur","Sajhowal","037202","22-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Sajowal,Quaid Abad,Dhana,Toria,Doser"
"3987","LESCO","Nothern","K.A.Malk","Sharqpur","O","Sharaq Pur","Sharqpur Shareef","037201","22-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","New Bahni,Ghazi Pur,Ghat Stop,Bara Adda,Bhati Town,Tahsil Road"
"3988","LESCO","SKP","City SKP","Attabad","C/O","Sharqpur Road","A.A Paper","089711","22-02-2022","9:00","15:00","Area Planning / Bifurcation of 11-KV Bulerky (EM) Feeder & 11-KV Sharaqpur Road (EM) Feeder from 132-KV Sharaqpur Road Grid Station 11-KV Bulerky (EM) Feeder","70% Completed"
"3989","LESCO","SKP","Rural  SKP","K/Wala","C/O","Sharqpur Road","Bularkey","089704","22-02-2022","9:00","15:00","Area Planning / Bifurcation of 11-KV Bulerky (EM) Feeder & 11-KV Sharaqpur Road (EM) Feeder from 132-KV Sharaqpur Road Grid Station 11-KV Bulerky (EM) Feeder","70% Completed"
"3990","LESCO","SKP","City SKP","Attabad","C/O","Sharqpur Road","CKM-2","089701","22-02-2022","9:00","15:00","Area Planning / Bifurcation of 11-KV Bulerky (EM) Feeder & 11-KV Sharaqpur Road (EM) Feeder from 132-KV Sharaqpur Road Grid Station 11-KV Bulerky (EM) Feeder","70% Completed"
"3991","LESCO","SKP","City SKP","Attabad","C/O","Sharqpur Road","Prosperity Weaving","089707","22-02-2022","9:00","15:00","Area Planning / Bifurcation of 11-KV Bulerky (EM) Feeder & 11-KV Sharaqpur Road (EM) Feeder from 132-KV Sharaqpur Road Grid Station 11-KV Bulerky (EM) Feeder","70% Completed"
"3992","LESCO","SKP","City SKP","Attabad","C/O","Sharqpur Road","Rupa Fill","089702","22-02-2022","9:00","15:00","Area Planning / Bifurcation of 11-KV Bulerky (EM) Feeder & 11-KV Sharaqpur Road (EM) Feeder from 132-KV Sharaqpur Road Grid Station 11-KV Bulerky (EM) Feeder","70% Completed"
"3993","LESCO","SKP","Rural  SKP","K/Wala","C/O","Sharqpur Road","Sharaq Pur Road","089703","22-02-2022","9:00","15:00","Area Planning / Bifurcation of 11-KV Bulerky (EM) Feeder & 11-KV Sharaqpur Road (EM) Feeder from 132-KV Sharaqpur Road Grid Station 11-KV Bulerky (EM) Feeder","70% Completed"
"3994","LESCO","SKP","Rural  SKP","C/Line","O","Sheikhupura","Company bagh","19738","22-02-2022","9:00","15:00","Tree Trimming Jumpers set right loos saging x-arms set right",""
"3995","LESCO","SKP","Rural  SKP","K/Wala","O","Sheikhupura","E-102","019704","22-02-2022","9:00","15:00","Tree Trimming Jumpers set right loos saging x-arms set right","65% Completed"
"3996","LESCO","SKP","Rural  SKP","CIVIL LINE","O","Sheikhupura","STADIUM","019713","22-02-2022","9:00","15:00","Tree Trimming Jumpers set right loos saging x-arms set right","65% Completed"
"3997","LESCO","Nothern","Badami Bagh","Sultanpura","C/O","Sherawala","Aziz Road","121003","22-02-2022","9:00","15:00","Tree Cutting, Jumper Setright,Rep: of Pin, Disc /X-Arm","Aziz Road"
