"4008","LESCO","Nothern","Ferozwala","Faiz Pur","O","Rustam","Saggian Road","41224","22-02-2022","9:00","15:00","1-Sitright HT/LT Jumper2-For Safety3-Sitright HT/LT Jumper4-For Safety","Saggian road, Abu Bakar road,Water Land, Gunj Lalan, Usman ghani road."
"4009","LESCO","Central","ShahPur","Mustafa Town","O","A.I.Town","Canal View","109","22-02-2022","9:00","15:00","Tree Cutting","Canal View Society"
"4010","LESCO","Central","ShahPur","Mustafa Town","O","A.I.Town","Industrial I","110","22-02-2022","9:00","15:00","Tree Cutting","Hanjerwal Samsani Road"
"4011","LESCO","Central","Samnabad","Ittehad Colony","O","Said Pur","Bastami Road","018407","22-02-2022","9:00","15:00","Tree CuttingTree Cutting","Pole # 13 NEAR ARIF SONS MAIN MULTAN ROADPole # 19 MUSAFAR SHAH DARBAR"
"4012","LESCO","Central","ShahPur","Mustafa Town","O","A.I.Town","Mustafa Town","118","22-02-2022","9:00","15:00","Tree Cutting","Mustafa Town"
"4013","LESCO","Nothern","Gulshan Ravi","Chaburji Park","O","Sabzazar","Jafria Colony","095011","22-02-2022","9:00","15:00","1-HT LT JUMPER SET RIGHT2-For Safety3-HT LT JUMPER SET RIGHT4- For Safety","KHUDA BUKHSH ROAD, AL KHYAM ROAD, JAFFERIA COLNY"
"4014","LESCO","Central","A.I.Town","Canal Road","O","Said Pur","A.I.Town","18409","22-02-2022","9:00","15:00","Tree Cutting","Badr Block"
"4015","LESCO","Nothern","Gulshan Ravi","Chaburji Park","O","Said Pur","Chaburji Park","018400","22-02-2022","9:00","15:00","1-For Safety2-HT LT JUMPER SET RIGHT3-For Safety4- HT LT JUMPER SET RIGHT","SODIWALL STORE, AKHTAR RASOOL CHOWK, AL KHAYAM ROAD,"
"4016","LESCO","Central","A.I.Town","Canal Road","O","Said Pur","Nargis","18422","22-02-2022","9:00","15:00","Tree Cutting","Huma Block Zeenat Block"
"4017","LESCO","Nothern","Gulshan Ravi","Dholanwall","O","Said Pur","Nawan Kot","018412","22-02-2022","9:00","15:00","1-HT LT JUMPER SET RIGHT 2-HT LT JUMPER SET RIGHT 3-HT LT JUMPER SET RIGHT 4- HT LT JUMPER SET RIGHT","YATEEM KHANA MARKET, ALMARIYO WALA, AMEER UR DIN DHOOD DAHI WALA, SAI KAREEM SHAH,"
"4018","LESCO","Okara 4th","Depal Pur","Haveli Rural","C/O","Haveli","Chak Bawa","006012","22-02-2022","9:00","15:00","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder","Village Chak Bawa"
"4019","LESCO","Okara 4th","Depal Pur","Haveli Rural","C/O","Haveli","Peer Ghani","006005","22-02-2022","9:00","15:00","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder","Village Pir Ghani"
"4020","LESCO","Okara 4th","Depal Pur","Haveli Urban","C/O","Haveli","Wasaway Wala","006011","22-02-2022","9:00","15:00","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder",""
