"4141","LESCO","SKP","Muridke","Canal Park","O","KSK","Haddoke","","23-02-2022","9:00","15:00","Tree Cutting, Sit Right Jumper, Loss Sag, ETC",""
"4142","LESCO","Central","Johar Town","Air Line Town","O","Punjab Univ: H/S","Eden Palace","113102","23-02-2022","9:00","15:00","Tree Cutting","Eden Society , Al Hamra Town , Ali Pur Village"
"4143","LESCO","Central","Raiwind","A.R.Abad","O","Wapda Town","Nashaman E Iqbal","50324","23-02-2022","9:00","15:00","Annual Maintenance","Nashaman E Iqbal Society"
"4144","LESCO","Central","Johar Town","Wapda Town","O","","Wapda Town Wapda PH-2","050335","23-02-2022","9:00","15:00","General Maintenance","Phase -2 Wapda Town"
"4145","LESCO","South","Kot Lakhpat","Sufiabad","C/O","KAHNA","Nishat","104412","23-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Indepandent"
"4146","LESCO","South","Kot Lakhpat","Sufiabad","C/O","KAHNA","Nishat Appreal","104418","23-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Indepandent"
"4147","LESCO","Central","Town Ship","Bahar Colony","C/O","Old Kot Lakhpat","Ittefaq Hospital","008215","23-02-2022","9:00","15:00","For Maintenance","Ittefaq Hospital"
"4148","LESCO","Nothern","Data Darbar","Qilla Muhammdi","O","Fort","Minto Park","004015","23-02-2022","9:00","15:00","1.hecking Of 11KV Disc/Pin Spark/Crack & Jumper & Steel CrossTree trimming2.hecking Of 11KV Disc/Pin Spark/Crack & Jumper &Tree trimming","detal hospital ,circular  road"
"4149","LESCO","Okara 4th","Depal Pur","Bhuman Shah","O","Haveli","Bhuman Shah","006014","23-02-2022","9:00","15:00","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder",""
"4150","LESCO","Okara 4th","Depal Pur","Haveli Urban","O","Haveli","Jahangira Abad","006010","23-02-2022","9:00","15:00","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder","Village Jhangir Abad"
"4151","LESCO","Okara","Okara Cantt","Karmawala","O","Okara City -1","Karmanwala","15204","23-02-2022","9:00","15:00","Tree Cutting and Jumper","Chak No.23,24,27,55/2-L"
"4152","LESCO","South","Kot Lakhpat","Kahna","C/O","KAHNA","Purana Kahna","104411","23-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Main Feroze Pur Road Kahna"
"4153","LESCO","Nothern","Badami Bagh","Shad Bagh","O","Chah Miran","Amar Road","2301","23-02-2022","9:00","15:00","Tree Cutting, Jumper Setright,Rep: of Pin, Disc /X-Arm","Amar Road, Habibiya Chowk"
"4154","LESCO","Central","Civil Lines","G.O.R","O","Shadman","Jail Road","019110","23-02-2022","9:00","15:00","Tree Trimming",""
"4155","LESCO","Kasur","City","Civil Area","O","Kasur New","Peeru Wala","202015","23-02-2022","9:00","15:00","Tree trimming, maintenance work","Village peeru wala"
"4156","LESCO","Kasur","City","Civil Area","O","Kasur New","Qadri","102010","23-02-2022","9:00","15:00","Tree trimming, maintenance work","Qadirabad"
"4157","LESCO","Central","Samnabad","Ittehad Colony","O","Said Pur","Studio","018416","23-02-2022","9:00","15:00","Tree CuttingTree Cutting","Pole # 13 NEAR ARIF SONS MAIN MULTAN ROADPole # 19 MUSAFAR SHAH DARBAR"
"4158","LESCO","Kasur","Phool Nagar","Pattoki City","O","Pattoki","Din Mill","015806","23-02-2022","9:00","15:00","Area Planning of proposed Changa Manga City Feeder from 132 KV Pattoki Grid Station and 11 KV Wan Adhan Feeder from 132 KV Chunian Grid Station for the utilization of idle line National Power Plant11 KV Wan Adhan (P)","0%"
"4159","LESCO","Kasur","Phool Nagar","Pattoki City","O","Pattoki","Sajjad Mill","015807","23-02-2022","9:00","15:00","Area Planning of proposed Changa Manga City Feeder from 132 KV Pattoki Grid Station and 11 KV Wan Adhan Feeder from 132 KV Chunian Grid Station for the utilization of idle line National Power Plant11 KV Wan Adhan (P)","0%"
"4160","LESCO","Kasur","Phool Nagar","Sarai Mughal","C/O","Phool Nagar","Hallah","001502","23-02-2022","9:00","15:00","Tree Triming, Re-Sagging, Set Right Tilted Poles, X-Arms, Pin Insulator, Kite/Threads/Nest removing & replacement of damaged LT/HT jumpers",""
"4161","LESCO","Kasur","Phool Nagar","Sarai Mughal","O","Phool Nagar","Jajja/Ravi","001531","23-02-2022","9:00","15:00","Tree Triming, Re-Sagging, Set Right Tilted Poles, X-Arms, Pin Insulator, Kite/Threads/Nest removing & replacement of damaged LT/HT jumpers",""
"4162","LESCO","Kasur","Phool Nagar","Sarai Mughal","C/O","Phool Nagar","Rakh Wala","001510","23-02-2022","9:00","15:00","Tree Triming, Re-Sagging, Set Right Tilted Poles, X-Arms, Pin Insulator, Kite/Threads/Nest removing & replacement of damaged LT/HT jumpers",""
"4163","LESCO","Kasur","Phool Nagar","P/Nagar","C/O","Phool Nagar","Remolding","001511","23-02-2022","9:00","15:00","Tree Triming, Re-Sagging, Set Right Tilted Poles, X-Arms, Pin Insulator, Kite/Threads/Nest removing & replacement of damaged LT/HT jumpers","Remolding"
