"4235","LESCO","SKP","Farooq Abad","Safdar Abad","O","K.K. DOGRAN","Ratti Tibbi","064710","23-02-2022","9:00","15:00","Safety",""
"4236","LESCO","South","Kot Lakhpat","Kahna","C/O","KAHNA","F/Pur Rd Kahna","104401","23-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Shalemar Town"
"4237","LESCO","South","Kot Lakhpat","Kahna","C/O","KAHNA","Sharif Park","104420","23-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Sharif Park , Seraich"
"4238","LESCO","South","Kot Lakhpat","Hamza Town","C/O","KAHNA","US Apreal","104422","23-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Indepandent"
"4239","LESCO","Kasur","Chunian","KanganPur","O","Kangan Pur","Kangan Pur City","30303","23-02-2022","9:00","15:00","Area Planning / Bifurcation of 11kV Tariq Arshad Feeder from 132kV Ellahbad G/S and 11kV Rajowal feeder from 132kV Hujra G/S and 11kV Noshehra feeder from 132kV Chunian G/S 11kV Tariq Arshad (EM)Area Planning / Bifurcation of 11kV Baqa Pur Feeder from 132kV Ellahabad G/S and 11kV Siraj Din Feeder Emanating from 132kV Kanganpur Grid Station 11kV Machhiana (P)","Rural Area"
"4240","LESCO","Kasur","Chunian","KanganPur West","O","Kangan Pur","Machana","30310","23-02-2022","9:00","15:00","Tree Trimmig",""
"4241","LESCO","Kasur","Rural Kasur","Bahadur Pura","O","Kasur Old","Fateh Pur","9924","23-02-2022","9:00","15:00","Work Order No.05-18-0145Starting Date 08-2021Bifurcation of 11kV Dollay Wala  Feeder Emanating from 132 kV Kasur-1 G/S11 kV Bhuchkay Feeder (P)% age of work Completed 50%","60%"
"4242","LESCO","Kasur","Rural Kasur","Rural Area","O","Kasur Old","Mohallam","9933","23-02-2022","9:00","15:00","Tree Trimming & Maintenance Work to be carried out","Nadeem Cold Store To Adda Maan"
"4243","LESCO","Kasur","Rural Kasur","Bahadur Pura","O","Kasur Old","Noor Pur","9919","23-02-2022","9:00","15:00","Work Order No.05-18-0145Starting Date 08-2021Bifurcation of 11kV Dollay Wala  Feeder Emanating from 132 kV Kasur-1 G/S11 kV Bhuchkay Feeder (P)% age of work Completed 50%","60%"
"4244","LESCO","Kasur","Rural Kasur","Khudian East","C/O","Khudian","Dost Pura","31013","23-02-2022","9:00","15:00","Area Planning /Bifurcation of 11kV Saad (EM) feeder Emanating from 132 kV Khudian G/S 11kV Saad  (EM)Area Planning /Bifurcation of 11kV Dost Pura feeder Emanating from 132 kV Khudian G/S 11kV Dost Pura (EM)","15%"
"4245","LESCO","Kasur","Rural Kasur","Khudian East","C/O","Khudian","Kotli Rai Abu Bakar","31023","23-02-2022","9:00","15:00","Work Order No. 03-19-0076Starting Date 11-2021Area Planning /Bifurcation of","Near Canal Colony, Niwa Qilla, Qilla Gunja"
"","","","","","","","","","","","","11kV Dholan (EM) feeder Emanating from 132 kV Khudian G/S 11kV Dholan (EM)% age of work Completed 5%",""
"4246","LESCO","Kasur","Rural Kasur","Khudian East","C/O","Khudian","Saad","31016","23-02-2022","9:00","15:00","Area Planning /Bifurcation of 11kV Saad (EM) feeder Emanating from 132 kV Khudian G/S 11kV Saad  (EM)Area Planning /Bifurcation of 11kV Dost Pura feeder Emanating from 132 kV Khudian G/S 11kV Dost Pura (EM)","15%"
"4247","LESCO","Kasur","Rural Kasur","Khudian East","C/O","Khudian","Todday Pur","31022","23-02-2022","9:00","15:00","Work Order No. 03-19-0076Starting Date 11-2021Area Planning /Bifurcation of","15%"
"","","","","","","","","","","","","11kV Dholan (EM) feeder Emanating from 132 kV Khudian G/S 11kV Dholan (EM)% age of work Completed 5%",""
"4248","LESCO","South","Defence","Sitara Colony","C/O","Lefo","Lefo Road","012106","23-02-2022","9:00","15:00","Maintenance of 11 Kv feeders","Sitara Colony No.1, Gulistan Colony, Fazal Khan Colony, Bahadar Abad."
"4249","LESCO","South","Defence","Sitara Colony","C/O","Lefo","Sitara Colony","012111","23-02-2022","9:00","15:00","Maintenance of 11 Kv feeders","Javed Colony, Dera Akhtar Mayon Muhammad Ali Colony, Pak Town, Sitara Colony,"
"4250","LESCO","Kasur","City","Lullyani","O","Lullyani","Lakhneki","031405","23-02-2022","9:00","15:00","Tree trimming, maintenance work","Lakhneki, Green Kot"
