"4289","LESCO","Eastern","Mughalpura","Angoori Bagh","O","Shalamar 2","Sabzi Mandi","089308","23-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Sabzi Mandi Jameel Abad"
"4290","LESCO","Nothern","K.A.Malk","Sharqpur","O","Sharaq Pur","Fatowala","037203","23-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Shah Bukhari,Aya Pur,Noor Pur,Bholy Shah,Chiki gera"
"4291","LESCO","Nankana","Manawala","Manawala","C/O","Walgon Sohail","Bhimra","082611","23-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Indepandant Feeder"
"4292","LESCO","Nankana","Manawala","Manawala","C/O","Walgon Sohail","City Mananwala","082604","23-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Near Kair Wara , Mohallah Qadar Abad ,Faisal Town, Model Town , Nadeema Abad, Karkan Road, Khan Colony, Islam Pura"
"4293","LESCO","Nankana","Manawala","Manawala","O","Walgon Sohail","Industrial/Allama Iqbal","082613","23-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , Replacement Of X-Arm.","Iqbal nagar,Qaber Wali , Mahada Jadeed,Mahda Qadeem,Farooq Spininng Mills, Wara Roora"
"4294","LESCO","Nankana","Manawala","Feroze Wattowan","C/O","Walgon Sohail","Watto","082603","23-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Deterioated Poles, Replacement Of X-Arm.","Tani Chak,Lagger, Kachi Khothi, Warar Imam Din,Khambian,Jhlar Sawan, Feroxe Bangla, Jhalar Taliyan"
"4295","LESCO","Nothern","Ferozwala","Kala Khatai Road","O","New Shahdara","Kala Khatai Road","36912","23-02-2022","9:00","15:00","1-Sitright HT/LT Jumper/Tree Trimming2-For Safety3-Sitright HT/LT Jumper/Tree Trimming4-For Safety","Bharth, Gole, Babakwal, Awan Muslim, Sharif Pura, Bhalkhay."
"4296","LESCO","Nothern","Ferozwala","Faisal Park","O","New Shahdara","Peramount","36916","23-02-2022","9:00","15:00","1-For Safety2-For Safety3-For Safety4-For Safety","Indp."
"4297","LESCO","Nothern","Ferozwala","Kala Khatai Road","O","New Shahdara","Progressive Steel","36913","23-02-2022","9:00","15:00","1-For Safety2-For Safety3-For Safety4-For Safety","Indp."
"4298","LESCO","Nothern","Ferozwala","Faisal Park","O","New Shahdara","Wandala Dial Shah","36920","23-02-2022","9:00","15:00","1-Sitright HT/LT Jumper2-Sitright HT/LT Jumper3-Sitright HT/LT Jumper4-Sitright HT/LT Jumper","Wandala Dial Shah, Ayyaz Park, Rehmat Colony, Ratti Peeri, Rajpot Town."
"4299","LESCO","Nothern","Ferozwala","Kala Khatai Road","O","Scarp","New Javaid Park","50503","23-02-2022","9:00","15:00","1-For Safety2-Sitright HT/LT Jumper/Tree Trimming3-For Safety4-Sitright HT/LT Jumper/Tree Trimming","Jameel Park, Sakanderabad, Haji kot, Rehman Park, Kot Mehmood, Qaisar Town."
"4300","LESCO","SKP","City SKP","Attabad","O","Ayesha","Khan Colony","91206","23-02-2022","9:00","15:00","Maintenanc of Feeder",""
"4301","LESCO","SKP","City SKP","Jandiala Road","O","Ayesha","Mujahid Nagar","91203","23-02-2022","9:00","15:00","Maintenance of Feeder and Safety of Khan Colony Feeder",""
"4302","LESCO","SKP","City SKP","Attabad","O","Ayesha","Rehmat Colony","091212","23-02-2022","9:00","15:00","Maintenance Of 11 Kv feeders",""
"4303","LESCO","Central","A.I.Town","Canal Road","O","Said Pur","Mehran","18426","23-02-2022","9:00","15:00","Tree Cutting","Ravi Block Nishter Block"
"4304","LESCO","Central","A.I.Town","Canal Road","O","Said Pur","Ravi","18418","23-02-2022","9:00","15:00","Tree Cutting","Ravi Block Kareem Block"
"4305","LESCO","Central","A.I.Town","Canal Road","O","Said Pur","Sikander","18425","23-02-2022","9:00","15:00","Tree Cutting","Sikander Block"
"4306","LESCO","Nothern","Badami Bagh","Sultanpura","O","Chah Miran","Sultan Pura","2309","23-02-2022","9:00","15:00","Tree Cutting, Jumper Setright,Rep: of Pin, Disc /X-Arm","Sultan Pura"
