"4487","LESCO","Eastern","Shalamar","Bata PUR","O","Bata Pur","Data Park","001315","24-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Umer Khan Road Rizwan Garden Hafeez Garden"
"4488","LESCO","Nankana","Bucheki","Bara Ghar","O","Bucheki","F-3 (Bara Ghar)","001903","24-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Grid TO Thatha Bhattina, Chak No. 3, chak No. 53/3, Kot Abdullah, Pull Bara Ghar Village Bara ghar, Kot Abdullah, Pull Bara Ghar Village Bara ghar"
"4489","LESCO","Nankana","Bucheki","Bucheki","O","Bucheki","F-8","00906","24-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Near grid Near Kot Fazal, Pull Daik, Dhari Anian Di, Chah Jeeda, Moh. Rashid Park,"
"4490","LESCO","Central","A.I.Town","Rana Town","O","Bund Road","Amna Park","59913","24-02-2022","9:00","15:00","Tree Cutting","Rana Town"
"4491","LESCO","Nothern","Gulshan Ravi","Bund Road","O","Bund Road","Fazal Colony","059910","24-02-2022","9:00","15:00","1-For Safety2-HT LT JUMPER SET RIGHT3-For Safety4-For Safety","DOGAR MARKET, TEE NO 5, ASLAM SAPAI WALI GALI"
"4492","LESCO","Central","A.I.Town","Awan Town","O","Bund Road","Haidery Colony","59901","24-02-2022","9:00","15:00","Tree Cutting","Waseem Block Haider Park"
"4493","LESCO","Central","A.I.Town","Rana Town","O","Bund Road","Hanjerwall","59911","24-02-2022","9:00","15:00","Tree Cutting","80-feet Road"
"4494","LESCO","Nothern","Gulshan Ravi","Bund Road","O","Bund Road","Pedru Road","059902","24-02-2022","9:00","15:00","1-For Safety2-For Safety3-HT LT JUMPER SET RIGHT4- For Safety","PURANI PADRU GHATTI, KARAMT WELDING WALA, QARI ASGHAR GHATTI, SHAHEEN ABAD"
"4495","LESCO","Central","A.I.Town","Rana Town","O","Bund Road","Said Pur","59906","24-02-2022","9:00","15:00","Tree Cutting","80-Feet Road Duban Pura"
"4496","LESCO","Nothern","Gulshan Ravi","Bund Road","O","Bund Road","Shera kot","059909","24-02-2022","9:00","15:00","1-HT LT JUMPER SET RIGHT2-For Safety3-For Safety4-HT LT JUMPER SET RIGHT","BAO SAMI KI GHATII, NALA SHERA KOT, SAMI CHOWK"
"4497","LESCO","Nothern","Badami Bagh","Wassan Pura","O","Chah Miran","Misri Shah","2306","24-02-2022","9:00","15:00","Tree Cutting, Jumper Setright,Rep: of Pin, Disc /X-Arm","Raheem Road, Ganda Nala, Shamshad Park, Butt Chowk, 33-C misri Shah"
"4498","LESCO","Nothern","Badami Bagh","Sultanpura","O","Chah Miran","Umer Din Road","2313","24-02-2022","9:00","15:00","Tree Cutting, Jumper Setright,Rep: of Pin, Disc /X-Arm","Umer Din Road"
"4499","LESCO","Okara 4th","Depal Pur","Rural","C/O","Depal Pur","Asad Ullah Pur","026529","24-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Village Asad Ullah Pur"
"4500","LESCO","Okara 4th","Depal Pur","Urban","C/O","Depal Pur","City-II (Razaqia)","026512","24-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Fazal Ellah Colony, Abdullah Basti"
"4501","LESCO","Okara 4th","Depal Pur","Urban","C/O","Depal Pur","Dola Pukhta","26518","24-02-2022","9:00","15:00","Tree Cutting and Jumper","Village Dola Pukhta"
"4502","LESCO","Okara 4th","Depal Pur","Rural","C/O","Depal Pur","Gudara","026511","24-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Village Gudara"
