"5070","LESCO","Central","Samnabad","Prem Nager","O","Qurtaba","Rajgarh","016713","28-02-2022","9:00","15:00","Mandar Chooni Lal Gate Wala 200 KVA T/F","Tree Cutting"
"5071","LESCO","Kasur","Phool Nagar","Jumber","C/O","Phool Nagar","Jumber / Data","001536","28-02-2022","9:00","15:00","Tree Triming, Re-Sagging, Set Right Tilted Poles, X-Arms, Pin Insulator, Kite/Threads/Nest removing & replacement of damaged LT/HT jumpers","Jumber/Data"
"5072","LESCO","SKP","City SKP","Qila Sattar Shah","O","Atta Abad","Flying Pulp","621","28-02-2022","9:00","15:00","For Maintenance of Feeder",""
"5073","LESCO","SKP","City SKP","Qila Sattar Shah","O","Atta Abad","Ghazi Kot","634","28-02-2022","9:00","15:00","For Maintenance of Feeder",""
"5074","LESCO","SKP","Muridke","Canal Park","O","KSK","New Industrial","8419","28-02-2022","9:00","15:00","Tree Cutting, Sit Right Jumper, Loss Sag, ETC",""
"5075","LESCO","Okara 4th","Hujra","Basir Pur","O","Basir Pur","Ghouse E Azam","24109","28-02-2022","9:00","15:00","Bifurcation of 11 KV Churasta Feeder From 132 KV Basir Pur Grid Station 11 KV THokar (P) Feeder","Village Ghouse E Azam"
"5076","LESCO","Okara 4th","Hujra","Basir Pur","O","Basir Pur","Roheela Road","024110","28-02-2022","9:00","15:00","Area Palanning/Bifurcation of 11 KV City, Mandi Ahmadabad,Hafiz Lal, Battak and 11 Ruken Pura Feeder Emanating from 132 KV Basirpur G/S 11 KV Maharkey (EM) Feeder","Village Roheela , Roheela Road"
"5077","LESCO","Okara 4th","Hujra","North","O","Hujra","Ashiq Abad","028715","28-02-2022","9:00","15:00","Tree Cutting and Jumper","Village Ashiq Abad"
"5078","LESCO","Okara 4th","Hujra","North","O","Hujra","Daud Bandagi","028707","28-02-2022","9:00","15:00","Tree Cutting and Jumper","Village Daud Bandagi, Derbar Duad Bandagi"
"5079","LESCO","Okara 4th","Hujra","South","O","Hujra","Peer Hayat","028711","28-02-2022","9:00","15:00","Tree Cutting and Jumper","Village Peer Hayat, Dograye,2/D , Dhaliana"
"5080","LESCO","Okara 4th","Hujra","City","O","Hujra","Shah Pur (Zahid Pura)","028712","28-02-2022","9:00","15:00","Tree Cutting and Jumper","Mouza Shah pur,Kot Ahmad, Dhuttay Ki"
"5081","LESCO","SKP","Muridke","Ravi Rayon","O","KSK","SF-1","8408","28-02-2022","9:00","15:00","Tree Cutting, Sit Right Jumper, Loss Sag, ETC",""
"5082","LESCO","SKP","Muridke","Ravi Rayon","O","KSK","SF-2","8409","28-02-2022","9:00","15:00","Tree Cutting, Sit Right Jumper, Loss Sag, ETC",""
