"5085","LESCO","Ist Circle","Data Darbar","Sherawala Gate","ELR","Fort","Ahmed Park","4001","01-02-2022","09:00","0.625","D/W Road Winding Subhan Hotel to Aik Moria Pul & Aik Moria Pul to Zoom Petrol Pump Sherawala(Section I,II) ….. Sherawala","Sherawala"
"5086","LESCO","5th Circle","Defence","Air Port","ELR","Ghazi Grid","Air Avenue","98730","01-02-2022","09:00","0.625","D/W EDEN CITY Housing Society                   11KV Sejhpal (P)Feeder","Ind."
"5087","LESCO","Ist Circle","","Ravi Road  Sultanpura","ELR","Sherawala","Aziz Road","121003","01-02-2022","09:00","0.625","D/W Road Winding Subhan Hotel to Aik Moria Pul & Aik Moria Pul to Zoom Petrol Pump Sherawala(Section I,II) ….. Sherawala","Faiz Bhag"
"5088","LESCO","5th Circle","Cantt","Barki","ELR / NORTH","Ghazi Grid","Barki","98720","01-02-2022","09:00","0.625","1. D/W EDEN CITY Housing 2.11KV Sejhpal (P)Feeder  ELR                            3.Reconductoring work of 11 KV Barki Feeder (EM NORTH","Society    ELR"
"5089","LESCO","5th Circle","Cantt","BRB","ELR","Ghazi Grid","BRB","98708","01-02-2022","09:00","0.625","D/W EDEN CITY Housing Society                   11KV Sejhpal (P)Feeder","Barki"
"5090","LESCO","Ist Circle","","Ravi Road  Sultanpura","ELR","Sherawala","Canal Park","121001","01-02-2022","09:00","0.625","D/W Road Winding Subhan Hotel to Aik Moria Pul & Aik Moria Pul to Zoom Petrol Pump Sherawala(Section I,II) ….. Sherawala","Aziz Road"
"5091","LESCO","5th Circle","Defence","Air Port","ELR","Ghazi Grid","DHA Phase 8","98722","01-02-2022","09:00","0.625","D/W EDEN CITY Housing Society                   11KV Sejhpal (P)Feeder","Ind."
"5092","LESCO","Ist Circle","Meclord road","Dheli Gate","ELR","Mochi Gate","Dheli Gate","71003","01-02-2022","09:00","0.625","D/W Road Winding Subhan Hotel to Aik Moria Pul & Aik Moria Pul to Zoom Petrol Pump Sherawala(Section I,II) ….. Sherawala","Dheli Gate"
"5093","LESCO","Ist Circle","","Ravi Road  Sultanpura","ELR","Sherawala","Faiz Bhag","121004","01-02-2022","09:00","0.625","D/W Road Winding Subhan Hotel to Aik Moria Pul & Aik Moria Pul to Zoom Petrol Pump Sherawala(Section I,II) ….. Sherawala","Faiz Bhag"
"5094","LESCO","5th Circle","Cantt","BRB","ELR / NORTH","Ghazi Grid","Gawandi","98713","01-02-2022","09:00","0.625","1. D/W EDEN CITY Housing 2.11KV Sejhpal (P)Feeder  ELR                            3.Reconductoring work of 11 KV Barki Feeder (EM NORTH","Society    ELR"
"5095","LESCO","5th Circle","Cantt","Barki","ELR","Ghazi Grid","Green City","","01-02-2022","09:00","0.625","D/W EDEN CITY Housing Society                   11KV Sejhpal (P)Feeder","Ind."
"5096","LESCO","5th Circle","Cantt","Guldsht twn","ELR","Ghazi Grid","Harbans Pura","98707","01-02-2022","09:00","0.625","D/W EDEN CITY Housing Society                   11KV Sejhpal (P)Feeder","Harbans Pura"
"5097","LESCO","5th Circle","Cantt","Barki","ELR / NORTH","Ghazi Grid","Haydara","98710","01-02-2022","09:00","0.625","1. D/W EDEN CITY Housing 2.11KV Sejhpal (P)Feeder  ELR                            3.Reconductoring work of 11 KV Barki Feeder (EM NORTH","Society    ELR"
"5098","LESCO","5th Circle","Cantt","BRB","ELR / NORTH","Ghazi Grid","Jaman","98712","01-02-2022","09:00","0.625","1. D/W EDEN CITY Housing 2.11KV Sejhpal (P)Feeder  ELR                            3.Reconductoring work of 11 KV Barki Feeder (EM NORTH","Society    ELR                                                 Jaman, Barki Road"
"5099","LESCO","Ist Circle","Meclord road","Dheli Gate","ELR","Mochi Gate","Landa Bazar","71001","01-02-2022","09:00","0.625","D/W Road Winding Subhan Hotel to Aik Moria Pul & Aik Moria Pul to Zoom Petrol Pump Sherawala(Section I,II) ….. Sherawala","Landa bzar ,Circular rd"
"5100","LESCO","Ist Circle","Baghban Pura","UET","ELR","Sherawala","Lari adda","121002","01-02-2022","09:00","0.625","D/W Road Winding Subhan Hotel to Aik Moria Pul & Aik Moria Pul to Zoom Petrol Pump Sherawala(Section I,II) ….. Sherawala","GT Rd, UET"
"5101","LESCO","5th Circle","Cantt","Barki","ELR","Ghazi Grid","Mehfoz Pura","98709","01-02-2022","09:00","0.625","D/W EDEN CITY Housing Society                   11KV Sejhpal (P)Feeder","Mehfoz Pura"
"5102","LESCO","Ist Circle","Meclord road","Dheli Gate","ELR","Mochi Gate","Nawaz sharif Hospital","71012","01-02-2022","09:00","0.625","D/W Road Winding Subhan Hotel to Aik Moria Pul & Aik Moria Pul to Zoom Petrol Pump Sherawala(Section I,II) ….. Sherawala","Independent"
"5103","LESCO","Ist Circle","Baghban Pura","UET","ELR","Sherawala","New Dhodi Peer","121005","01-02-2022","09:00","0.625","D/W Road Winding Subhan Hotel to Aik Moria Pul & Aik Moria Pul to Zoom Petrol Pump Sherawala(Section I,II) ….. Sherawala","GT Rd, UET"
