"5233","LESCO","fitfth","Defence","Amar Sidhu","south","LEFO","Sitra Colony","","02-02-2022","09:00","0.625","11KV Sitara Colony (EM) & 11KV Muhammad Ali Colony (P) Feeder","Sitara Colony"
"5234","LESCO","Kasur","Industrial","Model","Kasur","Bhai Pheru","Suleman Nauman","1513","02-02-2022","09:00","0.625","From 132KV LEFO Grid Station Starting Date 01-2022Area Planning / Bifurcation of 11KV Jajja & Hallah feeders from","Suleman Nauman"
"5235","LESCO","Kasur","Phool Nagar","Sarai Mughal","Kasur","Bhai Pheru","Syed Stationary","1537","02-02-2022","09:00","0.625","Work Order No. 09-21-0010Starting Date 01-2022Area Planning / Bifurcation of 11KV Jajja & Hallah feeders from","Syed Stationary"
"5236","LESCO","Kasur","Chunian","Ellahabad","Kasur","Ellahabad","Tariq Arshad","50608","02-02-2022","09:00","0.625","Work Order No. 07-19-0005Starting Date 12-2021Area Planning / Bifurcation of 11KV Tariq Arshad from 132KV","Ellahabad Road"
"5237","LESCO","Kasur","Kasur Rural","Khudian East","Kasur","Khudian","Todday Pur","31022","02-02-2022","09:00","0.625","Ellah Abad G/S and 11kV Rajowal Starting Date 11-2021Area Planning /Bifurcation of 11kV Saad (EM) feeder Emanating","Village Todday Pur"
"5238","LESCO","NNS","Mana wala","Manawala","SKP","Walgon Sohail","Watoo","082603","02-02-2022","09:00","15:00","from 132 kV Khudian G/SEOL from 2800-KW to 4000-KW  M/S BHIMRA Textile Mills (Pvt) LTD Fsd Road Manawala","City Manawala"
"5239","LESCO","Kasur","Industrial","Model","Kasur","Bhai Pheru","Zeifar Textile","1533","02-02-2022","09:00","0.625","Work Order No. 09-21-0010Starting Date 01-2022Area Planning / Bifurcation of 11KV Jajja & Hallah feeders from","Zefar Textile"
"5240","LESCO","fitfth","K.L.P","Kahna","south","Kahna","Ferozepur Road","104401","02-02-2022","","","Bhai Pheru G/S11 KV Gurumangat (EM) from 132 KV  Kahna Grid Station","Ferozapur Road"
"5241","LESCO","fitfth","K.L.P","Kahna","south","Kahna","Sharif Park","","02-02-2022","","","11 KV Gurumangat (EM) from 132 KV  Kahna Grid Station","Sharif Park"
"5242","LESCO","fitfth","K.L.P","Hamza Town","south","Kahna","U.S. Appreals","","02-02-2022","","","11 KV Gurumangat (EM) from 132 KV  Kahna Grid Station","Hudiara Drain"
"5243","LESCO","Okara 4th","Hujra","Basir Pur","Okara","Basir Pur","Battak","024106","02-02-2022","09:00","0.625","Area Palanning/Bifurcation of 11 KV City, Mandi Ahmadabad,Hafiz Lal, Battak and 11 Ruken Pura Feeder Emanating from 132 KV Basirpur G/S 11 KV Maharkey (EM) Feeder & Bifurcation of 11 KV Churasta Feeder From 132 KV Basir Pur Grid Station 11 KV THokar (P) Feeder","Village Battak,"
"5244","LESCO","Okara 4th","Hujra","Mazhar Abad","Okara","Basir Pur","Chorista","24107","02-02-2022","09:00","0.625","Bifurcation of 11 KV Churasta Feeder From 132 KV Basir Pur Grid Station 11 KV THokar (P) Feeder","Bank Rad, Basir Pur"
"5245","LESCO","Okara 4th","Hujra","Basir Pur","Okara","Basir Pur","Hafiz Lal","24102","02-02-2022","09:00","0.625","Area Palanning/Bifurcation of 11 KV City, Mandi Ahmadabad,Hafiz Lal, Battak and 11 Ruken Pura Feeder Emanating from 132 KV Basirpur G/S 11 KV Maharkey (EM) Feeder","Village Hafiz Lal"
"5246","LESCO","Okara 4th","Hujra","Basir Pur","Okara","Basir Pur","Mahar Kay","024108","02-02-2022","09:00","0.625","Area Palanning/Bifurcation of 11 KV City, Mandi Ahmadabad,Hafiz Lal, Battak and 11 Ruken Pura Feeder Emanating from 132 KV Basirpur G/S 11 KV Maharkey (EM) Feeder","Village Mahar Kay"
"5247","LESCO","Okara 4th","Hujra","Basir Pur","Okara","Basir Pur","Thokar","","02-02-2022","09:00","0.625","Bifurcation of 11 KV Churasta Feeder From 132 KV Basir Pur Grid Station 11 KV THokar (P) Feeder","Village Churasta, Mohallah Basir Pur"
"5248","LESCO","Eastren","SHALAMAR","Sahafi Colony","North","Press Club Colony","Fish form","","02-02-2022","09:00","0.625","11KV Canal Forts","Kotli Ghazi"
"5249","LESCO","Eastren","SHALAMAR","Sahafi Colony","North","Press Club Colony","Khyber Colony","115204","02-02-2022","09:00","0.625","11KV Canal Forts","Kotli Ghazi"
"5250","LESCO","Eastren","SHALAMAR","Sahafi Colony","North","Press Club Colony","Madni Road","115202","02-02-2022","09:00","0.625","11KV Canal Forts","Kotli Ghazi"
"5251","LESCO","Eastren","SHALAMAR","Sahafi Colony","North","Press Club Colony","CTD","115206","02-02-2022","09:00","0.625","11KV Canal Forts","Kotli Ghazi"
"5252","LESCO","Eastren","SHALAMAR","Sahafi Colony","North","Press Club Colony","Sahafi Colony-I","115205","02-02-2022","09:00","0.625","11KV Canal Forts","Kotli Ghazi"
"5253","LESCO","Central","Shah Pur","Chung","ELR","Sukh Chain","Ali Hussain Abad","105012","03-02-2022","09:00","0.625","D/W. ROAD WIDENING SHIFTING OF HT/LT LINES & TRANSFORMERS FROM CANAL GARDEN SCHEME TO MOHLANWAL SCHEME SHAHKAM CHOWK LAHORE. ......... SHAHKAM CHOWK","Indp."
