"5575","LESCO","","","Model Industry","ELR / South","Bhai Pheru","Tritax","1530","07-02-2022","09:00","0.625","1. M/S FARAS COMBINE MARKETING COMPANY PVT. LTD. ELR                                            2. Deposit Work for EOL in the name of Zephyr Textile (Ltd) at 63-KM Multan Road Jumber Tehsil Pattoki District Kasur.25% SOUTH",""
"5576","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Ali Park","50808","07-02-2022","0.375","0.625","11KV Qila Kalar Feeder","Garvi Mohallah11 KV Azmat Park (P) Feeder                                               Ali ParkManager Colony"
"5577","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Diamond Polly","50831","07-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Mixed"
"5578","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Industrial P","","07-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Mixed"
"5579","LESCO","1sr Circle","Ferozwala","Rachana Town","ELR","Sham kay","Islam Steel","50801","07-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Mixed"
"5580","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","New  Muslim International","50819","07-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Independent"
"5581","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Punjab Judicial","","07-02-2022","0.375","0.625","11 KV Qila Qalar (EM) FeederD/W G/C Universty11 KV Azmat Park (P) Feeder","Ind"
"5582","LESCO","1sr Circle","Ferozwala","Ali Park","","Sham kay","Qila Kalar","50840","07-02-2022","09:00","0.625","11 KV Qila Qalar (EM) Feeder11 KV Azmat Park (P) Feeder G.C University","Indp."
"5583","LESCO","1sr Circle","Ferozwala","Rachana Town","ELR","Sham kay","Rachana Town","50802","07-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder               D/W G/C Universty","Mixed"
"5584","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Sadiq Paper","50834","07-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Mixed"
"5585","LESCO","1sr Circle","Ferozwala","Rachana Town","ELR","Sham kay","Sharif Oxygen","50823","07-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Independent"
"5586","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Sher-e- Bangal","50824","07-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Mixed"
"5587","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","UET","50836","07-02-2022","09:00","0.625","11 KV Ali Park Feeder 11 KV Azmat Park (P) Feeder     G.C Universty","Garvi MohallahAli ParkManager Colony"
"5588","LESCO","1sr Circle","Ferozwala","Rachana Town","ELR","Sham kay","Unipet","50832","07-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder              D/W G/C Universty","Independent"
"5589","LESCO","1sr Circle","Ferozwala","Rachana Town","ELR","Sham kay","University Of Health Science","50845","07-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder","MixedD/W G/C Universty"
"5590","LESCO","Eastren","SHALAMAR","shalamar","North","Shalamar-I","Barket -I","19429","07-02-2022","09:00","0.625","REROUTING OF 11KV FEEDERS IN REGIONAL STORE SHALAMAR","Independent"
"5591","LESCO","Eastren","SHALAMAR","shalamar","North","Shalamar-I","Barket II","19431","07-02-2022","09:00","0.625","REROUTING OF 11KV FEEDERS IN REGIONAL STORE SHALAMAR","Independent"
