"5643","LESCO","Kasur","Phool  Nagar","Jumber","south","Bhai Pheru","Zameer","1519","07-02-2022","09:00","0.625","Deposit Work for EOL in the name of Zephyr Textile (Ltd) at 63-KM Multan Road Jumber Tehsil Pattoki District Kasur.25%","Independent"
"5644","LESCO","Okara 4th","Okara","Model City","Okara","Okara City-II","Company Bagh","84901","07-02-2022","09:00","0.625","Area Planning / Bifurcation of 11 KV Faisal Abad Road Feeder from 132 KV Okara City-II G/S 11 KV Chak 18/GD (P) Feeder","Company Bagh"
"5645","LESCO","Okara 4th","Okara","Civil Line","Okara","Okara City-II","D.H.Q","84915","07-02-2022","09:00","0.625","Area Planning / Bifurcation of 11 KV Faisal Abad Road Feeder from 132 KV Okara City-II G/S 11 KV Chak 18/GD (P) Feeder",""
"5646","LESCO","Okara 4th","Okara","Okara Rural","Okara","Okara City-II","Faisal Abad Road","84908","07-02-2022","09:00","0.625","Area Planning / Bifurcation of 11 KV Faisal Abad Road Feeder from 132 KV Okara City-II G/S 11 KV Chak 18/GD (P) Feeder","Mohallah Rehmat Pur"
"5647","LESCO","Okara 4th","Okara","Civil Line","Okara","Okara City-II","Fawara Chowk","84902","07-02-2022","09:00","0.625","Area Planning / Bifurcation of 11 KV Faisal Abad Road Feeder from 132 KV Okara City-II G/S 11 KV Chak 18/GD (P) Feeder","Mohallah Rehmat Pur"
"5648","LESCO","Okara 4th","Okara","Okara Rural","Okara","Okara City-II","Fazal Paper","","07-02-2022","09:00","0.625","Area Planning / Bifurcation of 11 KV Faisal Abad Road Feeder from 132 KV Okara City-II G/S 11 KV Chak 18/GD (P) Feeder","Independent"
"5649","LESCO","Okara 4th","Renala","Renala City","Okara","Renala","Rao Zia Ud Din","17610","07-02-2022","09:00","0.625","Area Development Housing Scheme-II Renala ( Naya Pakistan)","Govt H/S, Muslam Town,Green City, 17/1L,9/1L"
"5650","LESCO","Okara 4th","Okara","Model City","Okara","Okara City-II","Rehmat Pura","84911","07-02-2022","09:00","0.625","Area Planning / Bifurcation of 11 KV Faisal Abad Road Feeder from 132 KV Okara City-II G/S 11 KV Chak 18/GD (P) Feeder","Faisalabad Road"
"5651","LESCO","Okara 4th","Okara","Okara Rural","Okara","Okara City-II","Salva Oil","","07-02-2022","09:00","0.625","Area Planning / Bifurcation of 11 KV Faisal Abad Road Feeder from 132 KV Okara City-II G/S 11 KV Chak 18/GD (P) Feeder","Independent"
"5652","LESCO","Okara 4th","Renala","Renala City","Okara","Renala","Sher Grah","","07-02-2022","09:00","0.625","Area Development Housing Scheme-II Renala ( Naya Pakistan)",""
"5653","LESCO","Okara 4th","Okara Cantt","Civil Line","Okara","Okara City-II","Akbar Road","84904","07-02-2022","09:00","0.625","Area Planning / Bifurcation of 11 KV Faisal Abad Road Feeder from 132 KV Okara City-II G/S 11 KV Chak 18/GD (P) Feeder","Akbar Road Village"
"5654","LESCO","Okara 4th","Renala","Renala City","Okara","Renala","City( Aleem Town)","17602","07-02-2022","09:00","0.625","Area Development Housing Scheme-II Renala ( Naya Pakistan)","Basti Raheem Bux,Ahmad Colony,Hameed Town, Aleem Town,Basti Hazoor"
