"5741","LESCO","Okara 4th","Okara","Gogera","Okara","Gogera","Young Pur","53903","08-02-2022","09:00","0.625","Area Planning / Bifurcation/Load Shifting of 11 KV Saddar Gogera & 11 KV Jandraka From 132 KV Sadar Gogeera G/S,11 KV Ghous & 11 KV Satghara From 132 KV Renala Khurd G/S, 11 KV Kund Bohar From 132 KV Daula Chuchak G/S 11 KV SADDAR GOGERA (EM) Feeder from 132 KV Gogera G/S","Village Young Pur"
"5742","LESCO","Centrel Circle","Raiwind","Sarfraz Nagar","ELR","Manga Mandi","Yousaf Chackwal","41114","08-02-2022","09:00","0.625","D/W M/S MEEZAN BEVERAGES PVT LTD.       D/W M/S T.U Plastic Industry Company PVT.LTD","Mix"
"5743","LESCO","Kasur","Phool Nagar","Sarfraz Nagar","ELR","Manga Mandi","Zahoor Textile","41110","08-02-2022","09:00","0.625","M/S T.U Plastic Industry Company PVT.LTD.AT 45 KM Multan Road D/W M/S MEEZAN BEVERAGES PVT LTD.","Phool Nagar"
"5744","LESCO","Fifth","Cantt","Zarar Shaheed Road","south","Ghazi Grid","Zarar Shaheed","98726","08-02-2022","","","D/W of Emploee Old Age Benefits Institution Hotel & Mixed use Development at Plot No. B Survey Ranger H/Q Lahore 10%","Zarar Shaheed"
"5745","LESCO","Okara 4th","Depal Pur","Bhoman Shah","Okara","Haveli Lakha","Bheela","","08-02-2022","09:00","0.625","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder","Village Jinday ki"
"5746","LESCO","Okara 4th","Depal Pur","Haveli Rural","Okara","Haveli Lakha","Chak Bawa","6012","08-02-2022","09:00","0.625","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder","Village Bhuman Shah"
"5747","LESCO","Okara 4th","Depal Pur","Haveli Rural","Okara","Haveli Lakha","Chak Kambo","6007","08-02-2022","09:00","0.625","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder","Village Chak Kamboo"
"5748","LESCO","Okara 4th","Depal Pur","Haveli Rural","Okara","Haveli Lakha","Milk Plant","6008","08-02-2022","09:00","0.625","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder","Village Jhangir Abad"
"5749","LESCO","Okara 4th","Depal Pur","Haveli Rural","Okara","Haveli Lakha","Peer Ghani","6005","08-02-2022","09:00","0.625","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder","Village Sulemanki"
"5750","LESCO","Okara 4th","Depal Pur","Haveli Rural","Okara","Haveli Lakha","Subhan","","08-02-2022","09:00","0.625","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder","Village Jamal Kot"
"5751","LESCO","Okara 4th","Depal Pur","Haveli Rural","Okara","Haveli Lakha","Wasaway Wala","6011","08-02-2022","09:00","0.625","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder",""
"5752","LESCO","Eastren","SHALAMAR","Sahafi Colony","North","Press Club Colony","Asif Town","115201","09-02-2022","09:00","0.625","IIKV Afzal Park  (Installation of Str: and stringing of conductor","Asif Town"
"5753","LESCO","Eastren","Mughal Pura","Amir town","North","Fateh Garh","Canal Bank / Iftikhar Park","3820","09-02-2022","09:00","0.625","IIKV Afzal Park  (Installation of Str: and stringing of conductor","Asif Town"
"5754","LESCO","Eastren","SHALAMAR","Sahafi Colony","North","Press Club Colony","Qalandar pura","115203","09-02-2022","09:00","0.625","IIKV Afzal Park  (Installation of Str: and stringing of conductor","Kotli Ghazi"
"5755","LESCO","Northeren","Feroze Wala","Kot Abdul Malik","North","UIS","Hamza Meat","39912","09-02-2022","09:00","0.625","BETTER ENGINEERING (EM) Feeder (Errection of poles )","INDEPENDENT"
"5756","LESCO","Northern","Kot Abdul Malik","SKP Road","ELR","UIS","Alhadeed Ind","","09-02-2022","09:00","0.625","M/S Jilani Poly Industries (Pvt) Ltd SKP Road Lahore","Ind"
"5757","LESCO","Northern","Ravi Road","Amin Park","ELR","Sagian Grid","Amin Park","","09-02-2022","08:00","0.5833","11-Kv Bloch Chowk (P) Feeder       11KV Khalid Park Feeder",""
"5758","LESCO","Northern","Kot Abdul Malik","SKP Road","ELR","UIS","Azhar Iqbal","","09-02-2022","09:00","0.625","D/W Atta Metal (PVT).LTD                 M/S Jilani Poly Industries (Pvt) Ltd SKP Road Lahore",""
"5759","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR / NORTH","UIS","Batala Allied","","09-02-2022","0.375","0.625","1. D/W Atta Metal (PVT) LTD ELR                        2. BETTER ENGINEERING (EM) Feeder (Errection of poles ) north","Ind"
"5760","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","UIS","Batala Steel II","","09-02-2022","0.375","0.625","D/W Atta Metal (PVT) LTD","Ind"
"5761","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","UIS","Hamza Meet","","09-02-2022","0.375","0.625","D/W Atta Metal (PVT) LTD","Ind"
"5762","LESCO","Northern","Data Darbar","Bilal Ganj","ELR","Sagian Grid","Ind-I","","09-02-2022","08:00","0.5833","11-Kv Bloch Chowk (P) Feeder       11KV Khalid Park Feeder",""
"5763","LESCO","Northern","Data Darbar","Bilal Ganj","ELR","Sagian Grid","Ind-II","","09-02-2022","08:00","0.5833","11-Kv Bloch Chowk (P) Feeder       11KV Khalid Park Feeder",""
"5764","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","UIS","Iqbal Town","","09-02-2022","0.375","0.625","D/W Atta Metal (PVT) LTD","SKP Road"
