"5919","LESCO","NNS","Mana wala","Warburton","SKP","Warburton","Tanveer Cotton","40120","10-02-2022","09:00","15:00","EOL From 486-KW to 2500-KW in the Name of M/S Liaqat Spinning Mills Pvt. Ltd. at 3-KM Ferozwattiowan Warburton Road Against App # 1110/EOL/B-3 Dated 08-09-2021.","Independent"
"5920","LESCO","Kasur","Kasur Rural","Mandi Usman Wala","Kasur","Khudian","Tatara","31017","10-02-2022","09:00","0.625","Work Order No. 03-19-0076Starting Date 11-2021Area Planning /Bifurcation of 11kV Dholan (EM) feeder Emanating from 132 kV Khudian G/S 11kV Dholan (EM)% age of work Completed 20%","Village Tatara"
"5921","LESCO","SKP","SKP City","Qila Sattar Shah","SKP","Attabad","Tubewell","000605","10-02-2022","09:00","15:00","EOL From 485-KW to 1500-KW in the Name of M/S Panther Sports & Rubber Industries at Bhatti Dhilwan Distt. SKP Against App # 111/EOL/B-3 Dt 08-09-2021.","Abadi KularAbadi Mudky Kalan"
"5922","LESCO","SKP","SKP City","Qila Sattar Shah","SKP","I.C.I","Zafarabad","75313","10-02-2022","09:00","15:00","EOL From 485-KW to 1500-KW in the Name of M/S Panther Sports & Rubber Industries at Bhatti Dhilwan Distt. SKP Against App # 111/EOL/B-3 Dt 08-09-2021.","Abadi Zafar AbadJoyina Wala More"
"5923","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Abu Bakar","","10-02-2022","0.375","0.625","11-KV Abu Bakar (P) Feeder","Ind"
"5924","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Al-Fateh Steel","","10-02-2022","0.375","0.625","11-KV Abu Bakar (P) Feeder","Ind"
"5925","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Din Colony","27018","10-02-2022","0.375","0.625","D/W NEW AGE CABLES","Ind"
"5926","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Emco","27001","10-02-2022","0.375","0.625","11-KV Abu Bakar (P) Feeder","Ind"
"5927","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","FarooqSteel","","10-02-2022","0.375","0.625","11-KV Abu Bakar (P) Feeder","Ind"
"5928","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Hafeez Industry","","10-02-2022","0.375","0.625","D/W NEW AGE CABLES","Ind"
"5929","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","K.A Malik -2","27012","10-02-2022","0.375","0.625","11-KV Abu Bakar (P) Feeder","Ind"
"5930","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","MadinaGlass","","10-02-2022","0.375","0.625","11-KV Abu Bakar (P) Feeder","Ind"
"5931","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","Emco","New Age","27016","10-02-2022","0.375","0.625","D/W NEW AGE CABLES","11-KV Abu Bakar (P) Feeder                                  Industrial-3"
"5932","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Ranayal Synthetic","","10-02-2022","0.375","0.625","D/W NEW AGE CABLES","Ind"
"5933","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Starlet","","10-02-2022","0.375","0.625","11-KV Abu Bakar (P) Feeder","Ind"
"5934","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Variety","","10-02-2022","0.375","0.625","1. D/W NEW AGE CABLES  2.11-KV Abu Bakar (P) Feeder","Ind"
"5935","LESCO","central","Shah Pur","Niaz Baig","south","Johar Town-II","Judicial Colony","109502","10-02-2022","09:00","0.625","1. D/W PAFDA Multan Road Thokar Niaz Baig   50%","Judicial"
"5936","LESCO","Northern","Ravi Road","Amin Park","ELR","Ravi Grid Station","Charagh Park","17302","12-02-2022","0.375","0.625","11 Kv Charagh Park","Charagh Park"
"5937","LESCO","Sheikhpura","City SKP","Qila Muhammadi","ELR","Ravi Grid Station","forest colony","017301","12-02-2022","0.375","0.625","11 Kv Charagh Park","forest colony"
"5938","LESCO","Northern","Badami Bagh","Data Nagar","ELR","Ravi Grid Station","Khokhar Road","017312","12-02-2022","0.375","0.625","11 Kv Charagh Park","Khokhar Road"
"5939","LESCO","Northern","Ravi Road","Amin Park","ELR","Ravi Grid Station","LDA","17308","12-02-2022","0.375","0.625","11 Kv Charagh Park","LDA"
"5940","LESCO","Northern","Data Darbar","Qila Muhammadi","ELR","Ravi Grid Station","Qila Mohammadi","17311","12-02-2022","0.375","0.625","11 Kv Charagh Park","Ravi Link"
"5941","LESCO","Northern","Data Darbar","Qila Muhammadi","ELR","Ravi Grid Station","Ravi Link","017310","12-02-2022","0.375","0.625","11 Kv Charagh Park","Ravi Link"
"5942","LESCO","Central","Shah Pur","Chung","ELR","Sukh Chain","Ali Hussain Abad","105012","13-02-2022","09:00","0.625","D/W. ROAD WIDENING SHIFTING OF HT/LT LINES & TRANSFORMERS FROM CANAL GARDEN SCHEME TO MOHLANWAL SCHEME SHAHKAM CHOWK LAHORE. ......... SHAHKAM CHOWK","Indp."
"5943","LESCO","Central","Shah Pur","Chung","ELR","Chung","BATA","3002","13-02-2022","09:00","0.625","D/W. ROAD WIDENING SHIFTING OF HT/LT LINES & TRANSFORMERS FROM CANAL GARDEN SCHEME TO MOHLANWAL SCHEME SHAHKAM CHOWK LAHORE. ......... SHAHKAM CHOWK","Indp."
