"6123","LESCO","Kasur","Phool  Nagar","Jumber","south /Kasur","Bhai Pheru","Niaz Baig","1507","14-02-2022","09:00","0.625","Deposit Work for EOL in the name of Zephyr Textile (Ltd) at 63-KM Multan Road Jumber Tehsil Pattoki District Kasur.25% /Work Order No. 09-21-0010Starting Date 01-2022Area Planning / Bifurcation of 11KV Jajja & Hallah feeders from Bhai Pheru G/S11KV Sraiye Mughal (P)% age of work Completed 0%","Domestic"
"6124","LESCO","","","Model Industry","ELR / South","Bhai Pheru","Dinamic","1534","14-02-2022","09:00","0.625","1. M/S FARAS COMBINE MARKETING COMPANY PVT. LTD. ELR                                            2. Deposit Work for EOL in the name of Zephyr Textile (Ltd) at 63-KM Multan Road Jumber Tehsil Pattoki District Kasur.25% SOUTH","Independent"
"6125","LESCO","Kasur","Phaool Nagar","Jumber","ELR / South","Bhai Pheru","Jumber","1536","14-02-2022","09:00","0.625","1. M/S FARAS COMBINE MARKETING COMPANY PVT. LTD. ELR                                            2. Deposit Work for EOL in the name of Zephyr Textile (Ltd) at 63-KM Multan Road Jumber Tehsil Pattoki District Kasur.25% SOUTH",""
"6126","LESCO","","","Model Industry","ELR / South","Bhai Pheru","Novelty","1525","14-02-2022","09:00","0.625","1. M/S FARAS COMBINE MARKETING COMPANY PVT. LTD. ELR                                            2. Deposit Work for EOL in the name of Zephyr Textile (Ltd) at 63-KM Multan Road Jumber Tehsil Pattoki District Kasur.25% SOUTH","Independent"
"6127","LESCO","","","Phool Nagar","ELR / South","Bhai Pheru","Saharan K","1538","14-02-2022","09:00","0.625","1. M/S FARAS COMBINE MARKETING COMPANY PVT. LTD. ELR                                            2. Deposit Work for EOL in the name of Zephyr Textile (Ltd) at 63-KM Multan Road Jumber Tehsil Pattoki District Kasur.25% SOUTH",""
"6128","LESCO","","","Model Industry","ELR / South","Bhai Pheru","Tritax","1530","14-02-2022","09:00","0.625","1. M/S FARAS COMBINE MARKETING COMPANY PVT. LTD. ELR                                            2. Deposit Work for EOL in the name of Zephyr Textile (Ltd) at 63-KM Multan Road Jumber Tehsil Pattoki District Kasur.25% SOUTH",""
"6129","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Ali Park","50808","14-02-2022","0.375","0.625","11KV Qila Kalar Feeder","Garvi Mohallah11 KV Azmat Park (P) Feeder                                               Ali ParkManager Colony"
"6130","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Diamond Polly","50831","14-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Mixed"
"6131","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","Industrial P","","14-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Mixed"
"6132","LESCO","1sr Circle","Ferozwala","Rachana Town","ELR","Sham kay","Islam Steel","50801","14-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Mixed"
"6133","LESCO","1sr Circle","Ferozwala","Ali Park","ELR","Sham kay","New  Muslim International","50819","14-02-2022","0.375","0.625","11 KV Azmat Park (P) Feeder      D/W G/C Universty","Independent"
