"6802","LESCO","Northren","Ferozwala","Faiz Pur","North","Rustam","Suggian Road","41224","22-02-2022","0.375","0.625","11 KV Nain Sukh Feeder (EM)","suggian"
"6803","LESCO","Okara 4th","Okara","Gogera","Okara","Gogera","Akbar","53901","22-02-2022","09:00","0.625","Area Planning / Bifurcation/Load Shifting of 11 KV Saddar Gogera & 11 KV Jandraka From 132 KV Sadar Gogeera G/S,11 KV Ghous & 11 KV Satghara From 132 KV Renala Khurd G/S, 11 KV Kund Bohar From 132 KV Daula Chuchak G/S 11 KV SADDAR GOGERA (EM) Feeder from 132 KV Gogera G/S","Village Akbar"
"6804","LESCO","Fifth","Cantt","Guldasht Town","south / ELR","Ghazi Grid","Askari-10","98715","22-02-2022","","","1. D/W of Emploee Old Age Benefits Institution Hotel & Mixed use Development at Plot No. B Survey Ranger H/Q Lahore 2. D/W EDEN CITY Housing 3.11KV Sejhpal (P)Feeder ELR","Askari-1010% SOUTH                                                             Society ELR"
"6805","LESCO","Fifth","Cantt","Zarar Shaheed Road","south","Ghazi Grid","Askari-9","98718","22-02-2022","","","D/W of Emploee Old Age Benefits Institution Hotel & Mixed use Development at Plot No. B Survey Ranger H/Q Lahore 10%","Askari-9"
"6806","LESCO","Okara 4th","Okara","Gogera","Okara","Gogera","Bahaddar Nagar","53907","22-02-2022","09:00","0.625","Area Planning / Bifurcation/Load Shifting of 11 KV Saddar Gogera & 11 KV Jandraka From 132 KV Sadar Gogeera G/S,11 KV Ghous & 11 KV Satghara From 132 KV Renala Khurd G/S, 11 KV Kund Bohar From 132 KV Daula Chuchak G/S 11 KV SADDAR GOGERA (EM) Feeder from 132 KV Gogera G/S","Village Bahadur Nagar"
"6807","LESCO","SKP","SKP Rural","K/Wala","SKP","Sharqpur Road","Bularkey","089704","22-02-2022","09:00","15:00","Area Planning / Bifurcation of 11-KV Bulerky (EM) Feeder & 11-KV Sharaqpur Road (EM) Feeder from 132-KV Sharaqpur Road Grid Station 11-KV Bulerky (EM) Feeder","Village BulerkyGujjar Pura"
"6808","LESCO","Okara 4th","Okara","Gogera","Okara","Gogera","Burj Jeeway Khan","53908","22-02-2022","09:00","0.625","Area Planning / Bifurcation/Load Shifting of 11 KV Saddar Gogera & 11 KV Jandraka From 132 KV Sadar Gogeera G/S,11 KV Ghous & 11 KV Satghara From 132 KV Renala Khurd G/S, 11 KV Kund Bohar From 132 KV Daula Chuchak G/S 11 KV SADDAR GOGERA (EM) Feeder from 132 KV Gogera G/S","Village Burj Jeway Khan"
"6809","LESCO","Kasur","Kot Radha Kishan","KRK-I","Kasur","Kot Radha Kishan","City –I","85003","22-02-2022","09:00","0.625","Work Order No. 08-20-0011Starting Date 10-2020 Bifurcation of 11kV City-II Feeder from 132kV Kot Radha Kishan G/S 11kV Zaffarkay (P)% age of work Completed 40%","KRK City"
"6810","LESCO","Kasur","Kot Radha Kishan","KRK-I","Kasur","Kot Radha Kishan","City –II","85004","22-02-2022","09:00","0.625","Work Order No. 08-20-0011Starting Date 10-2020 Bifurcation of 11kV City-II Feeder from 132kV Kot Radha Kishan G/S 11kV Zaffarkay (P)% age of work Completed 40%","KRK Rural"
"6811","LESCO","Okara 4th","Okara","Okara Rural","Okara","Gogera","Distirct Jail Okara","","22-02-2022","09:00","0.625","Area Planning / Bifurcation/Load Shifting of 11 KV Saddar Gogera & 11 KV Jandraka From 132 KV Sadar Gogeera G/S,11 KV Ghous & 11 KV Satghara From 132 KV Renala Khurd G/S, 11 KV Kund Bohar From 132 KV Daula Chuchak G/S 11 KV SADDAR GOGERA (EM) Feeder from 132 KV Gogera G/S","Independent"
"6812","LESCO","Kasur","Kot Radha Kishan","KRK-I","Kasur","Kot Radha Kishan","Dry Port","","22-02-2022","09:00","0.625","Work Order No. 08-20-0011Starting Date 10-2020 Bifurcation of 11kV City-II Feeder from 132kV Kot Radha Kishan G/S 11kV Zaffarkay (P)% age of work Completed 40%","Dry Port"
"6813","LESCO","Fifth","Cantt","Guldasht Town","south","Ghazi Grid","Express","98724","22-02-2022","","","D/W of Emploee Old Age Benefits Institution Hotel & Mixed use Development at Plot No. B Survey Ranger H/Q Lahore 10%","Express"
"6814","LESCO","Okara 4th","Okara","Ravi","Okara","Gogera","Fateh Pur","53904","22-02-2022","09:00","0.625","Area Planning / Bifurcation/Load Shifting of 11 KV Saddar Gogera & 11 KV Jandraka From 132 KV Sadar Gogeera G/S,11 KV Ghous & 11 KV Satghara From 132 KV Renala Khurd G/S, 11 KV Kund Bohar From 132 KV Daula Chuchak G/S 11 KV SADDAR GOGERA (EM) Feeder from 132 KV Gogera G/S","Village Fateh Pur"
