"7057","LESCO","SKP","SKP City","Qila Sattar Shah","SKP","I.C.I","Zafarabad","75313","24-02-2022","09:00","15:00","EOL From 485-KW to 1500-KW in the Name of M/S Panther Sports & Rubber Industries at Bhatti Dhilwan Distt. SKP Against App # 111/EOL/B-3 Dt 08-09-2021.","Abadi Zafar AbadJoyina Wala More"
"7058","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Abu Bakar","","24-02-2022","0.375","0.625","11-KV Abu Bakar (P) Feeder","Ind"
"7059","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Al-Fateh Steel","","24-02-2022","0.375","0.625","11-KV Abu Bakar (P) Feeder","Ind"
"7060","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Din Colony","27018","24-02-2022","0.375","0.625","D/W NEW AGE CABLES","Ind"
"7061","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Emco","27001","24-02-2022","0.375","0.625","11-KV Abu Bakar (P) Feeder","Ind"
"7062","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","FarooqSteel","","24-02-2022","0.375","0.625","11-KV Abu Bakar (P) Feeder","Ind"
"7063","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Hafeez Industry","","24-02-2022","0.375","0.625","D/W NEW AGE CABLES","Ind"
"7064","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","K.A Malik -2","27012","24-02-2022","0.375","0.625","11-KV Abu Bakar (P) Feeder","Ind"
"7065","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","MadinaGlass","","24-02-2022","0.375","0.625","11-KV Abu Bakar (P) Feeder","Ind"
"7066","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","Emco","New Age","27016","24-02-2022","0.375","0.625","D/W NEW AGE CABLES","11-KV Abu Bakar (P) Feeder                                  Industrial-3"
"7067","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Ranayal Synthetic","","24-02-2022","0.375","0.625","D/W NEW AGE CABLES","Ind"
"7068","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Starlet","","24-02-2022","0.375","0.625","11-KV Abu Bakar (P) Feeder","Ind"
"7069","LESCO","Northern","Kot Abdul Malik","Kot Abdul Malik","ELR","EMCO","Variety","","24-02-2022","0.375","0.625","1. D/W NEW AGE CABLES  2.11-KV Abu Bakar (P) Feeder","Ind"
"7070","LESCO","central","Shah Pur","Niaz Baig","south","Johar Town-II","Judicial Colony","109502","24-02-2022","09:00","0.625","1. D/W PAFDA Multan Road Thokar Niaz Baig   50%","Judicial"
"7071","LESCO","central","Shah Pur","Shah Pur","south","Johar Town-I","Lala Zar","78213","24-02-2022","09:00","0.625","1. D/W PAFDA Multan Road Thokar Niaz Baig   50%","Raiwind Road"
"7072","LESCO","central","Shah Pur","Shah Pur","south","Johar Town-I","Metro","78218","24-02-2022","09:00","0.625","1. D/W PAFDA Multan Road Thokar Niaz Baig   50%","Independent"
"7073","LESCO","Northern","Ravi Road","Amin Park","ELR","Ravi Grid Station","Charagh Park","17302","26-02-2022","0.375","0.625","11 Kv Charagh Park","Charagh Park"
"7074","LESCO","Sheikhpura","City SKP","Qila Muhammadi","ELR","Ravi Grid Station","forest colony","017301","26-02-2022","0.375","0.625","11 Kv Charagh Park","forest colony"
"7075","LESCO","Northern","Badami Bagh","Data Nagar","ELR","Ravi Grid Station","Khokhar Road","017312","26-02-2022","0.375","0.625","11 Kv Charagh Park","Khokhar Road"
"7076","LESCO","Northern","Ravi Road","Amin Park","ELR","Ravi Grid Station","LDA","17308","26-02-2022","0.375","0.625","11 Kv Charagh Park","LDA"
"7077","LESCO","Northern","Data Darbar","Qila Muhammadi","ELR","Ravi Grid Station","Qila Mohammadi","17311","26-02-2022","0.375","0.625","11 Kv Charagh Park","Ravi Link"
"7078","LESCO","Northern","Data Darbar","Qila Muhammadi","ELR","Ravi Grid Station","Ravi Link","017310","26-02-2022","0.375","0.625","11 Kv Charagh Park","Ravi Link"
"7079","LESCO","Central","Shah Pur","Chung","ELR","Sukh Chain","Ali Hussain Abad","105012","27-02-2022","09:00","0.625","D/W. ROAD WIDENING SHIFTING OF HT/LT LINES & TRANSFORMERS FROM CANAL GARDEN SCHEME TO MOHLANWAL SCHEME SHAHKAM CHOWK LAHORE. ......... SHAHKAM CHOWK","Indp."
"7080","LESCO","Central","Shah Pur","Chung","ELR","Chung","BATA","3002","27-02-2022","09:00","0.625","D/W. ROAD WIDENING SHIFTING OF HT/LT LINES & TRANSFORMERS FROM CANAL GARDEN SCHEME TO MOHLANWAL SCHEME SHAHKAM CHOWK LAHORE. ......... SHAHKAM CHOWK","Indp."
"7081","LESCO","Central","Shah Pur","Chung","ELR","Jublee Town","Bhobtiyan Chowk","112703","27-02-2022","09:00","0.625","D/W. ROAD WIDENING SHIFTING OF HT/LT LINES & TRANSFORMERS FROM CANAL GARDEN SCHEME TO MOHLANWAL SCHEME SHAHKAM CHOWK LAHORE. ......... SHAHKAM CHOWK","Indp."
"7082","LESCO","Central","Shah Pur","Lahore Park","ELR","Sukh Chain","Canal Garden","105011","27-02-2022","09:00","0.625","D/W. ROAD WIDENING SHIFTING OF HT/LT LINES & TRANSFORMERS FROM CANAL GARDEN SCHEME TO MOHLANWAL SCHEME SHAHKAM CHOWK LAHORE. ......... SHAHKAM CHOWK","Indp."
