"53","LESCO","Okara 4th","Okara","Gogera","C/O","Gogera","Young Pur","053903","01-02-2022","9:00","15:00","Area Planning / Bifurcation/Load Shifting of 11 KV Saddar Gogera & 11 KV Jandraka From 132 KV Sadar Gogeera G/S,11 KV Ghous & 11 KV Satghara From 132 KV Renala Khurd G/S, 11 KV Kund Bohar From 132 KV Daula Chuchak G/S 11 KV SADDAR GOGERA (EM) Feeder from 132 KV Gogera G/S","Village Young Pur"
"54","LESCO","Okara 4th","Depal Pur","Haveli Rural","C/O","Haveli","Bheela","006017","01-02-2022","9:00","15:00","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder",""
"55","LESCO","Okara 4th","Depal Pur","Haveli Rural","C/O","Haveli","Chak Kambo","006007","01-02-2022","9:00","15:00","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder",""
"56","LESCO","Okara 4th","Depal Pur","Haveli Rural","C/O","Haveli","Milk Plant","006008","01-02-2022","9:00","15:00","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder","Village Fareed Pur Jageer & Wassaway Wala"
"57","LESCO","Okara 4th","Depal Pur","Haveli Rural","C/O","Haveli","Subhan","","01-02-2022","9:00","15:00","Area Planning /Bifurcation of 11 KV Pir Ghani and 11 KV Milk Plant Feeder emanating From 132 KV Haveli Lakha Grid Station 11 KV Pir Ghani   (EM) & Milk Plant (EM) Feeder",""
"58","LESCO","Kasur","City","City Kasur","O","Kasur Old","Chirgh Shah","9934","01-02-2022","9:00","15:00","Bifurcation of 11kV Hussain Khan Wala  Feeder Emanating from 132 kV Kasur-1 G/S11 kV Hussain Khan Wala Feeder (EM)11 kV Ello Ana Feeder (P)","60%"
"59","LESCO","SKP","Farooq Abad","Farooq Abad North","O","Jandiala Sher Khan","Inter Loop","","01-02-2022","9:00","15:00","Safety",""
"60","LESCO","SKP","Farooq Abad","Farooq Abad North","O","Jandiala Sher Khan","Kakkar Gill","118505","01-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Village Kakar Gill"
"61","LESCO","SKP","Farooq Abad","Farooq Abad North","O","Jandiala Sher Khan","Sher-e-Rubbani","118503","01-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Moh: Islampura Jhabran.Lorry Adda Jhabran."
"62","LESCO","SKP","Farooq Abad","Khanqa Dogran","O","","K.K. DOGRAN Bhorianwala","064711","01-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Marh balochan road"
"63","LESCO","SKP","Farooq Abad","Khanqa Dogran","O","K.K. DOGRAN","Khanqa Dogran","064702","01-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Sargodha road khanqan Dogran,Near Masjid,Dhaban road Moh: Fareed Abad"
"64","LESCO","SKP","Farooq Abad","Safdar Abad","O","K.K. DOGRAN","Sadiq Poultry Farm","064709","01-02-2022","9:00","15:00","Safety",""
"65","LESCO","SKP","Farooq Abad","Safdar Abad","O","K.K. DOGRAN","Safdar Abad","064701","01-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Vill: Dera Moran.Moh: Sadat Colony.Vill: Dhaban Kalan."
"66","LESCO","Kasur","Chunian","KanganPur","C/O","Kangan Pur","Gandhi Roop Singh","30301","01-02-2022","9:00","15:00","Area Planning / Bifurcation of 11kV PLU feeder from Khudian G/S and 11kV Kalas Feeder emanating from 132kV Kanganpur Grid Station 11kV Kalas (EM)","30%"
"67","LESCO","Kasur","Chunian","KanganPur","C/O","Kangan Pur","Kalas","30306","01-02-2022","9:00","15:00","Area Planning / Bifurcation of 11kV PLU feeder from Khudian G/S and 11kV Kalas Feeder emanating from 132kV Kanganpur Grid Station 11kV Kalas (EM)","30%"
"68","LESCO","Kasur","Chunian","KanganPur West","C/O","Kangan Pur","Najabat","30311","01-02-2022","9:00","15:00","Tree Trimmig",""
"69","LESCO","Kasur","City","City Kasur","O","Kasur Old","Sahari Road","009935","01-02-2022","9:00","15:00","Bifurcation of 11kV Hussain Khan Wala  Feeder Emanating from 132 kV Kasur-1 G/S11 kV Hussain Khan Wala Feeder (EM)11 kV Ello Ana Feeder (P)","60%"
