"1046","LESCO","South","Aziz Bhatti","Guldasht Town","O","Paragone","Army","116105","07-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Phullarwan"
"1047","LESCO","SKP","City SKP","Jandiala Road","O","Ayesha","Royal Leather","091209","07-02-2022","9:00","15:00","Maintenance Of 11 Kv feeders",""
"1048","LESCO","SKP","City SKP","Jandiala Road","O","I.C.I","Subhanallah Steel","075320","07-02-2022","9:00","15:00","Maintenance Of 11 Kv feeders",""
"1049","LESCO","Okara","Okara Cantt","Cantt","O","Okara City -1","Lakra wala","15207","07-02-2022","9:00","15:00","Tree Cutting and Jumper/For Safety","Chak No.55,56-D,55/BD,  /6/4L"
"1050","LESCO","SKP","City SKP","Attabad","O","I.C.I","A A. Paper","75322","07-02-2022","9:00","15:00","For Safety of CKM -1 Feeder",""
"1051","LESCO","SKP","City SKP","Attabad","O","I.C.I","Al Mezan Board","75326","07-02-2022","9:00","15:00","For Safety of CKM -1 Feeder  and Royal Leather Feeder",""
"1052","LESCO","SKP","City SKP","Attabad","O","I.C.I","CKM-1","7530","07-02-2022","9:00","15:00","Maintenance Of 11 Kv feeders",""
"1053","LESCO","SKP","City SKP","Attabad","O","I.C.I","Qadria board","75305","07-02-2022","9:00","15:00","For Safety of CKM -1 Feeder",""
"1054","LESCO","Central","A.I.Town","A.I.Town","O","A.I.Town","Clifton Colony","111","07-02-2022","9:00","15:00","Tree Cutting","Clifton Colony"
"1055","LESCO","Central","A.I.Town","Canal Road","O","A.I.Town","Gulshan Iqbal","102","07-02-2022","9:00","15:00","Tree Cutting","Raza Block PWD Colony"
"1056","LESCO","Central","A.I.Town","A.I.Town","O","A.I.Town","Hunza","117","07-02-2022","9:00","15:00","Tree Cutting","Hunza Block"
"1057","LESCO","Central","A.I.Town","A.I.Town","O","A.I.Town","Neelum","18423","07-02-2022","9:00","15:00","Tree Cutting","Moon Market Ganda Nala"
"1058","LESCO","Central","A.I.Town","Canal Road","O","A.I.Town","Raza","116","07-02-2022","9:00","15:00","Tree Cutting","Science College Nizam Block"
"1059","LESCO","Central","A.I.Town","A.I.Town","O","A.I.Town","Satluj","108","07-02-2022","9:00","15:00","Tree Cutting","Main Bulayward"
"1060","LESCO","Central","A.I.Town","Canal Road","O","A.I.Town","Sparco","113","07-02-2022","9:00","15:00","Tree Cutting","Karim Block Market Karim Block"
"1061","LESCO","Central","A.I.Town","A.I.Town","O","A.I.Town","Wahdat Colony","105","07-02-2022","9:00","15:00","Tree Cutting","Wahdat Colony,Moon Market, Hunza Block,Main Bullayward"
"1062","LESCO","Nankana","Bucheki","Syed Wala","O","Ali Juj","Machora","022801","07-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Chak no 15/67, Near Imam Bargah, Mian Ali Jug, Near Pul Khokey bhatti, Chak NO 16/69, Dhari Rao mushtaq,  Near Dhari Aga waqar,"
"1063","LESCO","SKP","Rural  SKP","Jinah Park","O","Ayesha","Sargodha Road","091213","07-02-2022","9:00","15:00","Maintenance work Tree Cutting Jumpers Set Right Buss Baar Repairing",""
"1064","LESCO","Eastern","Shalamar","Bata PUR","O","Bata Pur","Manawan","001303","07-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Manawan VillaGe Ram pura Bank Stop Mismillah Colony"
"1065","LESCO","Eastern","Shalamar","Sahafi colony","O","Bata Pur","Mandian Wala","001304","07-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Mandian Wala Dhor wala"
"1066","LESCO","Eastern","Shalamar","Bilal Colony","O","Bata Pur","Ravi Syphon","001307","07-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Malik Pur Talwara AchuGil Bhani"
"1067","LESCO","Eastern","Baghbanpura","K.K.Saeed","O","Bhogiwal","Bhagatpura","061704","07-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Fayyaz Park"
"1068","LESCO","Eastern","Baghbanpura","Madina Colony","O","Bhogiwal","China Scheem-1","061710","07-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","China Scheme (Block A-I , A-II)"
"1069","LESCO","Nankana","Bucheki","Bara Ghar","O","Bucheki","F-4 (Kot Tahire)","001904","07-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Kot Akber, Near Grid, Kot Tahir, Chak No. 52/2, Chaind Pur,   , Balo Banian, Rashid Pur Kharay, , Rashid Pur Kharay, Kot Tahir,"
"1070","LESCO","Nankana","Bucheki","Bucheki","O","Bucheki","F-9","001907","07-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Grid TO Bandy ki Jageer, Bavi, Pindi Peeran, , Gangi Peeran, Chamrooti"
