"1148","LESCO","Nothern","Gulshan Ravi","Dholanwall","O","Sabzazar","Kot Muhammadi","955010","07-02-2022","9:00","15:00","1-For Safety2-FOR SAFETY3-HT LT JUMPER SET RIGHT4- For Safety","BHATTI CHAI WALA, AFTAB KHAN, NATINAL BANK BUND ROAD, SHAMIM RIAZ,"
"1149","LESCO","Nothern","Gulshan Ravi","Nawan Kot","O","Said Pur","Sodiwall","018419","07-02-2022","9:00","15:00","1-HT LT JUMPER2-HT LT JUMPER3-HT LT JUMPER4-HT LT JUMPER","TARIQ COLONY INSIDE, TARIQ COLONY PRACE STREET, MAQBOOL LS QUARTER WALA, DAK KHANA SODIWALL CHOWK"
"1150","LESCO","Nankana","Shahkot","Ahmad Abad","O","Sangla Hill","City-3","036213","07-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Near Grid Station, Pole No. 4, Near Haji Boota Sheller, Chahur Sikhan, Near Primary School Chahur Kotli, Ghullay Bajwa Road, Ali Town, Near Pole Haji Boota Chak No. 36"
"1151","LESCO","Nankana","Shahkot","Sangla Hill","O","Sangla Hill","H-102","036210","07-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Chak No. 43 Kotla Khurd Stop, Chak No. 42 Marrar, Chak No. 41, Chak No. 37, Fardoon Abad, Chak No. 292, Chak No. 37 Pandat Wala, Chak No. 37 Khurd, Chak No. 292 Chak No. 43 Kotla"
"1152","LESCO","Nankana","Shahkot","Shahkot Gulistan","O","Shahkot","A-1","019201","07-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Near Mushedi Hotel, Near United Mill, Abadi Sindhawan, Near Anad Pura, Sarimko Garden, Malik Pura, Near Kartar Pura, Near Chak No. 88"
"1153","LESCO","Nankana","Shahkot","Shahkot City","C/O","Shahkot","Crescent Textile","019215","07-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Independent feeder"
"1154","LESCO","Nankana","Shahkot","Shahkot Gulistan","O","Shahkot","H-101","019204","07-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Near Wara Sindhian, Near Tawana, Near Chak No. 49, Chak No. 50"
"1155","LESCO","Nankana","Shahkot","Shahkot City","C/O","Shahkot","Jadeed Feed","019229","07-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Independent feeder"
"1156","LESCO","Nankana","Shahkot","Shahkot Gulistan","C/O","Shahkot","Kashir Textile","019221","07-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Independent feeder"
"1157","LESCO","Nankana","Manawala","Panwan","C/O","Shahkot","S-3","019208","07-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Deterioated Poles, Replacement Of X-Arm.","Chak No. 86 Chak No. 85.Kotla Kahluwan, Ghandhran,Mathu Wala,Panwan,Gill Wala,Kot Hayat"
"1158","LESCO","Nankana","Shahkot","Shahkot Gulistan","C/O","Shahkot","Sandal Bar Textile","019219","07-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Independent feeder"
"1159","LESCO","Nankana","Shahkot","Shahkot Gulistan","C/O","Shahkot","Shadab Textile","019212","07-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Independent feeder"
"1160","LESCO","Nankana","Shahkot","Shahkot City","C/O","Shahkot","Shamus Textile","019226","07-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Independent feeder"
"1161","LESCO","Nankana","Shahkot","Shahkot City","O","Shahkot","S-I","019207","07-02-2022","9:00","15:00","Tree Cutting, Set Right Jumpers, Replacement of Bus Bar , replacement Of D-Fuse Fitting.","Main D-Fuse, Chak No. 82, Chak No. 33, Chak No. 38, Near Bhatta Idrees, Near Dera Thabal, Chak No. 50, Chak No. 80, Near Waris Chowk, Chak No. 80, Chak No. 25, Chak NO. 32, T-Off Pakhari Wal"
"1162","LESCO","Nankana","Shahkot","Shahkot Gulistan","C/O","Shahkot","Suraj Textile","019216","07-02-2022","9:00","15:00","Shut down will be availed by the PD Construciton. (All Work completed by Operation)","Independent feeder"
"1163","LESCO","Eastern","Shalamar","Shalamar","O","Shalamar","Barkat Steel-2","019431","07-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Ind"
