"1282","LESCO","Okara 4th","Hujra","City","O","Hujra","Shah Pur (Zahid Pura)","028712","07-02-2022","9:00","15:00","Tree Cutting and Jumper","Mouza Shah pur,Kot Ahmad, Dhuttay Ki"
"1283","LESCO","SKP","Muridke","Ravi Rayon","O","KSK","SF-1","8408","07-02-2022","9:00","15:00","Tree Cutting, Sit Right Jumper, Loss Sag, ETC",""
"1284","LESCO","SKP","Muridke","Ravi Rayon","O","KSK","SF-2","8409","07-02-2022","9:00","15:00","Tree Cutting, Sit Right Jumper, Loss Sag, ETC",""
"1285","LESCO","Kasur","City","Civil Area","O","Kasur New","Jinnah Road","202012","08-02-2022","9:00","15:00","Tree trimming, maintenance work","Khara Road, Shah Inayat Colony"
"1286","LESCO","Kasur","Chunian","Chunian East","O","Ellahabad","Noor Pur","050606","08-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station11KV Deu Khara (EM) for Dismentlement11KV Pakhoki (P)","90%"
"1287","LESCO","SKP","Farooq Abad","Sucha Souda","O","Farooq Abad","Colony","027108","08-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Moh: Sharif pura.Aproch road.NR Phatak,Moh: Kashmirian"
"1288","LESCO","SKP","Farooq Abad","(South) Farooq Abad","O","Farooq Abad","Ghang","027116","08-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Village Ghang"
"1289","LESCO","SKP","Farooq Abad","(South) Farooq Abad","O","Farooq Abad","Jhamkay","027119","08-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Village Jhamke, Dhanatpura"
"1290","LESCO","Eastern","Mughalpura","Amir Town","O","Fateh Garh","Amir Town","003832","08-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Amir Town Moeez Town Daire Salamatpura Taj Mehal Park"
"1291","LESCO","Eastern","Mughalpura","Fateh Garh","O","Fateh Garh","Hafeez pura  003833","","08-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Khajoor Wali Gali"
"1292","LESCO","Eastern","Mughalpura","Harbanspura","O","Fateh Garh","Harbance Pura","003817","08-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Punj Peer New Pull Sami Town"
"1293","LESCO","Eastern","Mughalpura","Taj Bagh","O","Fateh Garh","Madina Town","003831","08-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Taj BaGh Scheem Madina Town"
"1294","LESCO","Eastern","Mughalpura","Mughalpura","O","Fateh Garh","Mughal Pura","003807","08-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","MuGhal Pura.SahWary.Ganj Bazar.Shah Kamal Rd."
"1295","LESCO","Nothern","Data Darbar","Sheran Wala","C/O","Fort","Ahmad Park","004001","08-02-2022","9:00","15:00","1..Checking Of 11KV Disc/Pin Spark/Crack & Streel Cross Arm 2..Checking Of 11KV Disc/Pin Spark/Crack  & Jumper3..Checking Of 11KV Disc/Pin Spark/Crack  & Tree Cutting","circular road, larri adda, kashmiri gate"
"1296","LESCO","Kasur","City","Bullay Shah","O","Kasur New","Ring Man B","102013","08-02-2022","9:00","15:00","Bifurcation of 11kV Hussain Khan Wala  Feeder Emanating from 132 kV Kasur-1 G/S11 kV Hussain Khan Wala Feeder (EM)11 kV Ello Ana Feeder (P)","60%"
"1297","LESCO","Nothern","Data Darbar","Sheran Wala","O","Fort","Larry Adda","121002","08-02-2022","9:00","15:00","1..Checking Of 11KV Disc/Pin Spark/Crack & Streel Cross Arm 2..Checking Of 11KV Disc/Pin Spark/Crack  & Jumper3..Checking Of 11KV Disc/Pin Spark/Crack  & Tree Cutting","badami bagh, spare parts market"
"1298","LESCO","South","Aziz Bhatti","Guldasht Town","C/O","Ghazi","Askari-10","098715","08-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Ibrahim Colony, Peer Naseer, Jalal Colony, Haji Pura, Makka Colony"
"1299","LESCO","South","Cantt","Zarar Shaheed","C/O","Ghazi","Askari-9","098718","08-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Askari-I & Askari-IX"
"1300","LESCO","South","Aziz Bhatti","Barki","C/O","Ghazi","Barki","098720","08-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Kalas Mari, Lohar Pura, Banghali Dairy Barki Rd, Opp. Bangali, Mian Sing, Qadirabad, Barki, Karamwala"
"1301","LESCO","South","Aziz Bhatti","BRB","C/O","Ghazi","BRB Canal","098708","08-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Bawo Wala, Durag Pura, Jindri, Jindra, Phase-VIII, Kalas Mari, Cross Cly"
"1302","LESCO","South","","Aziz Bhatti Guldasht Town","C/O","Ghazi","Express","098724","08-02-2022","9:00","15:00","Gen Maintinance","Guldasht Town Block A & B, Main Zarar Shaheed Rd, Aziz Bhatti Division LESCO"
