"1976","LESCO","Central","A.I.Town","Rana Town","O","Bund Road","Said Pur","59906","10-02-2022","9:00","15:00","Tree Cutting","80-Feet Road Duban Pura"
"1977","LESCO","Nothern","Gulshan Ravi","Bund Road","O","Bund Road","Shera kot","059909","10-02-2022","9:00","15:00","1-HT LT JUMPER SET RIGHT2-For Safety3-For Safety4-HT LT JUMPER SET RIGHT","BAO SAMI KI GHATII, NALA SHERA KOT, SAMI CHOWK"
"1978","LESCO","Nothern","Badami Bagh","Wassan Pura","O","Chah Miran","Misri Shah","2306","10-02-2022","9:00","15:00","Tree Cutting, Jumper Setright,Rep: of Pin, Disc /X-Arm","Raheem Road, Ganda Nala, Shamshad Park, Butt Chowk, 33-C misri Shah"
"1979","LESCO","Nothern","Badami Bagh","Sultanpura","O","Chah Miran","Umer Din Road","2313","10-02-2022","9:00","15:00","Tree Cutting, Jumper Setright,Rep: of Pin, Disc /X-Arm","Umer Din Road"
"1980","LESCO","Okara 4th","Depal Pur","Rural","C/O","Depal Pur","Asad Ullah Pur","026529","10-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Village Asad Ullah Pur"
"1981","LESCO","Okara 4th","Depal Pur","Urban","C/O","Depal Pur","City-II (Razaqia)","026512","10-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Fazal Ellah Colony, Abdullah Basti"
"1982","LESCO","Okara 4th","Depal Pur","Urban","C/O","Depal Pur","Dola Pukhta","26518","10-02-2022","9:00","15:00","Tree Cutting and Jumper","Village Dola Pukhta"
"1983","LESCO","Okara 4th","Depal Pur","Rural","C/O","Depal Pur","Gudara","026511","10-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Village Gudara"
"1984","LESCO","Okara 4th","Depal Pur","Urban","C/O","Depal Pur","Industrial (Peer Di Hatti)","026521","10-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","peer Di Hatti, Kharak Singh"
"1985","LESCO","Okara 4th","Depal Pur","Urban","C/O","Depal Pur","Kausar rice","026517","10-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Independent"
"1986","LESCO","Okara 4th","Depal Pur","Mazhar Abad","C/O","Depal Pur","Mancharian","26516","10-02-2022","9:00","15:00","Tree Cutting and Jumper","Village Mancharian"
"1987","LESCO","Okara 4th","Depal Pur","Rural","O","Depal Pur","Proben Abad","026505","10-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Village Probin Abad"
"1988","LESCO","Okara 4th","Depal Pur","Mazhar Abad","O","Depal Pur","S.S.M","026514","10-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Independent"
"1989","LESCO","Okara 4th","Depal Pur","Rural","O","Depal Pur","Scarp (Chohan Shama)","026506","10-02-2022","9:00","15:00","Area Planning / Bifurcation of 11 KV Pir Di Hatti and 11 KV Kanedy Feeder from 132 KV DAULA CHUCHAK G/S 11 KV Kanedy  (EM) Feeder","Bhatta M.Ali, Gomay Wala"
"1990","LESCO","Kasur","Chunian","Ellah Abad West","O","Ellahabad","Dhuttay","50604","10-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station11KV Deu Khara (EM) for Dismentlement11KV Pakhoki (P)","90%"
"1991","LESCO","Kasur","Chunian","Ellahabad","O","Ellahabad","Ellahabad","50605","10-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station11KV Deu Khara (EM) for Dismentlement11KV Pakhoki (P)","90%"
"1992","LESCO","Kasur","Chunian","Ellahabad","O","Ellahabad","Ellahabad City","50611","10-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station11KV Deu Khara (EM) for Dismentlement11KV Pakhoki (P)","90%"
