"1993","LESCO","Kasur","Chunian","Ellah Abad West","O","Ellahabad","Sarsiar","50610","10-02-2022","9:00","15:00","Area Planning / Bifurcation of 11KV Due Khara And 11KV Attari Karam Singh Feeder Emanating from 132KV Ellah Abad Grid Station11KV Deu Khara (EM) for Dismentlement11KV Pakhoki (P)","90%"
"1994","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Abu Bakar","027030","10-02-2022","9:00","15:00","Construction Work",""
"1995","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Al-Fateh Steel","027023","10-02-2022","9:00","15:00","Construction Work","Independent"
"1996","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Dhenga / Industrial P","027017","10-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Dhenga Village"
"1997","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Din Colony","027018","10-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Din Colony, Shakra Abbad,Wasan Pura"
"1998","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","EMCO","027001","10-02-2022","9:00","15:00","Construction Work","Independent"
"1999","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Farooq Steel","027026","10-02-2022","9:00","15:00","Construction Work","Independent"
"2000","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Hafeez Industry","027028","10-02-2022","9:00","15:00","For Safety","Independent"
"2001","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","K.A.Malik-II","027012","10-02-2022","9:00","15:00","Cleaning of 11 KV Disc,Pin Insulator SetRight,Jumpers set right,11 KV Jumpers Replacement & Tree Cutting","Bhattain Wala,Mandiali Saran,Emco Colony"
"2002","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Madina Glass","027027","10-02-2022","9:00","15:00","Construction Work","Independent"
"2003","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Newage Cable","027016","10-02-2022","9:00","15:00","For Safety","Independent"
"2004","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Ranyal Synthetic","027022","10-02-2022","9:00","15:00","For Safety","Independent"
"2005","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Starlet Innovative","027024","10-02-2022","9:00","15:00","Construction Work","Independent"
"2006","LESCO","Nothern","K.A.Malk","K.A.Malk","C/O","EMCO","Variety Dying","027025","10-02-2022","9:00","15:00","For Safety","Independent"
"2007","LESCO","SKP","Farooq Abad","(South) Farooq Abad","O","Farooq Abad","Bandoki Down","027101","10-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Nokhar Nai Abadi.Vill: Butter,Vill: Kujjar,Near Village Salar BhattianDera Sadar DinDera Gujran"
"2008","LESCO","SKP","Farooq Abad","Sucha Souda","O","Farooq Abad","C-2","027104","10-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","NR Dera Gujran.Jatri Kohna, Dera Mehlian."
"2009","LESCO","South","Aziz Bhatti","Altaf Colony","O","Ghazi","Altaf Colony","098731","10-02-2022","9:00","15:00","Gen Maintinance and Tree Triming","Ittehad Town, Dogaitch Town, Altaf Cly"
"2010","LESCO","Okara 4th","Hujra","South","O","Hujra","Attari Road","028716","10-02-2022","9:00","15:00","Tree Cutting and Jumper","Village Attari"
"2011","LESCO","Okara 4th","Hujra","North","C/O","Hujra","Rajowal","028706","10-02-2022","9:00","15:00","Area Palanning/Bifurcation of 11 KV Rajo Wal Feeder Emanating from 132 KV Hujra G/S 11 KV  Kharal Kalan  (P) Feeder","Village Rajo Wal, Village Kharal Kalan"
"2012","LESCO","Okara 4th","Hujra","City","O","Hujra","SaloWal","028705","10-02-2022","9:00","15:00","Area Palanning/Bifurcation of 11 KV Rajo Wal Feeder Emanating from 132 KV Hujra G/S 11 KV  Kharal Kalan  (P) Feeder","Kot Sultan, Salowal, Pakistani pull"
"2013","LESCO","SKP","City SKP","Qila Sattar Shah","C/O","I.C.I","Quaid Azam Apperal","75329","10-02-2022","9:00","15:00","EOL From 485-KW to 1500-KW in the Name of M/S Panther Sports & Rubber Industries at Bhatti Dhilwan Distt. SKP Against App # 111/EOL/B-3 Dt 08-09-2021.","30% Completed"
"2014","LESCO","SKP","City SKP","Qila Sattar Shah","C/O","I.C.I","Zafarabad","75313","10-02-2022","9:00","15:00","EOL From 485-KW to 1500-KW in the Name of M/S Panther Sports & Rubber Industries at Bhatti Dhilwan Distt. SKP Against App # 111/EOL/B-3 Dt 08-09-2021.","30% Completed"
"2015","LESCO","SKP","City SKP","Waris Shah","O","Jandiala Sher Khan","Jandiala Sher Khan","118501","10-02-2022","9:00","15:00","Maintenance of Feeder",""
"2016","LESCO","SKP","City SKP","Waris Shah","O","Jandiala Sher Khan","Shah Pur","118502","10-02-2022","9:00","15:00","Maintenance of Feeder",""
"2017","LESCO","Central","ShahPur","ShahPur","O","Johar Town I","Foreinsic Science","78227","10-02-2022","9:00","15:00","Tree Cutting","Foreinsic Science"
"2018","LESCO","Central","ShahPur","ShahPur","O","Johar Town I","Lala Zar","78213","10-02-2022","9:00","15:00","Tree Cutting","Lala Zar"
