"2019","LESCO","Central","ShahPur","ShahPur","O","Johar Town I","Metro","78218","10-02-2022","9:00","15:00","Tree Cutting","Metro"
"2020","LESCO","SKP","Farooq Abad","Khanqa Dogran","O","K.K. DOGRAN","Gujiana","064706","10-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Village Gujiana near Salae Syeddan, Near Dera arrain, Mian Ali Canal.Lahore road,"
"2021","LESCO","SKP","Farooq Abad","Safdar Abad","O","K.K. DOGRAN","Mian Ali","064703","10-02-2022","9:00","15:00","Tree Trimming, HT jumpers , Broken X Arms setright","Vill: Mian ali.Slar Syedan.Kot Mirza Din Mohammad"
"2022","LESCO","Kasur","Chunian","KanganPur West","O","Kangan Pur","Kot Hashim","30309","10-02-2022","9:00","15:00","Area Planning / Bifurcation of 11kV PLU feeder from Khudian G/S and 11kV Kalas Feeder emanating from 132kV Kanganpur Grid Station 11kV Kalas (EM)","30%"
"2023","LESCO","Kasur","Chunian","KanganPur West","O","Kangan Pur","Kot Siraj","30307","10-02-2022","9:00","15:00","Area Planning / Bifurcation of 11kV PLU feeder from Khudian G/S and 11kV Kalas Feeder emanating from 132kV Kanganpur Grid Station 11kV Kalas (EM)","30%"
"2024","LESCO","Kasur","Rural Kasur","Usman Wala","O","Khudian","Dhollan","031001","10-02-2022","9:00","15:00","Work Order No. 03-19-0076Starting Date 11-2021Area Planning /Bifurcation of","15%"
"","","","","","","","","","","","","11kV Dholan (EM) feeder Emanating from 132 kV Khudian G/S 11kV Dholan (EM)% age of work Completed 5%",""
"2025","LESCO","Kasur","Rural Kasur","Khudian North","C/O","Khudian","Gohar","031015","10-02-2022","9:00","15:00","Work Order No. 03-19-0076Starting Date 11-2021Area Planning /Bifurcation of","15%"
"","","","","","","","","","","","","11kV Dholan (EM) feeder Emanating from 132 kV Khudian G/S 11kV Dholan (EM)% age of work Completed 5%",""
"2026","LESCO","Kasur","Rural Kasur","Khudian East","O","Khudian","Khaie","031003","10-02-2022","9:00","15:00","Tree Trimming & Maintenance Work to be carried out","Khaie Road Near Ply Factory, Mali Pura, Rajo Wal"
"2027","LESCO","Kasur","Rural Kasur","Usman Wala","C/O","Khudian","M.U Wala","031008","10-02-2022","9:00","15:00","Work Order No. 03-19-0076Starting Date 11-2021Area Planning /Bifurcation of","15%"
"","","","","","","","","","","","","11kV Dholan (EM) feeder Emanating from 132 kV Khudian G/S 11kV Dholan (EM)% age of work Completed 5%",""
"2028","LESCO","Kasur","Rural Kasur","Usman Wala","C/O","Khudian","P.L.U","031010","10-02-2022","9:00","15:00","Work Order No. 03-19-0076Starting Date 11-2021Area Planning /Bifurcation of","15%"
"","","","","","","","","","","","","11kV Dholan (EM) feeder Emanating from 132 kV Khudian G/S 11kV Dholan (EM)% age of work Completed 5%",""
"2029","LESCO","Kasur","Rural Kasur","Khudian East","O","Khudian","Sakandar Pura",",031018","10-02-2022","9:00","15:00","Tree Trimming & Maintenance Work to be carried out","Near Wapda Office, Baig Pur,Sanda"
"2030","LESCO","Kasur","Rural Kasur","Usman Wala","C/O","Khudian","Tatara Kamal","031017","10-02-2022","9:00","15:00","Work Order No. 03-19-0076Starting Date 11-2021Area Planning /Bifurcation of","15%"
"","","","","","","","","","","","","11kV Dholan (EM) feeder Emanating from 132 kV Khudian G/S 11kV Dholan (EM)% age of work Completed 5%",""
"2031","LESCO","Kasur","Rural Kasur","Khudian North","O","Khudian","Verum","31011","10-02-2022","9:00","15:00","Area Planning /Bifurcation of 11kV Saad (EM) feeder Emanating from 132 kV Khudian G/S 11kV Saad  (EM)Area Planning /Bifurcation of 11kV Dost Pura feeder Emanating from 132 kV Khudian G/S 11kV Dost Pura (EM)","15%"
"2032","LESCO","Nankana","Nankana","Mangtanwala","O","Malik Pur","C-3 (Jharay Kalan)","032003","10-02-2022","9:00","15:00","Maintenance of 11-KV Feeder i/c loose Sag, Setting Right Jumpers, Tilted poles, Replacement of detoriated Conductor and Tree Trimming etc.","Villlage Malik Pur, Thatha Lehna and area"
